evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,2,0,0,420,True,Backdoor|Benign,0.7675704491043512,0.17057121091207805,0.670576003327095,0.5449102003058045,0.1918926122760878,,,0.9056,,,,,0.7675704491043512,0.7675704491043512,0.0582,,0.9418,0.0384370354640051,0.564979550557142
1,5000,10000,5000,2,0,0,621,True,Backdoor|Benign,0.6630315088865872,0.1473403353081305,0.5851448815695169,0.5092934969585244,0.1657578772216468,,,0.8676,,,,,0.6630315088865872,0.6630315088865872,0.0506,,0.9494,0.08615967979776701,0.5316003083701437
2,10000,15000,5000,2,0,0,676,True,Backdoor|Benign,0.5527293889199293,0.12282875309331762,0.5128627065668978,0.4461302398704984,0.13818234722998232,,,0.8374,,,,,0.5527293889199293,0.5527293889199293,0.0478,,0.9522,0.12056290695232094,0.5113185919230823
3,15000,20000,5000,3,0,0,559,True,Backdoor|Benign|Exploits,0.3330101675260486,0.11100338917534953,0.31976626370066097,0.3915856890239391,0.12487881282226823,,,0.8408,,,,,0.3330101675260486,0.3330101675260486,0.0366,,0.9634,0.1272576292298111,0.5060490478247218
4,20000,25000,5000,8,1,0,319,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.17554440670727367,0.1560394726286877,0.224493076041185,0.3397324080598955,0.12947424245988204,0.079929141122183,0.5833403805496828,0.901314459049545,0.23636363636363636,0.05454545454545454,0.18181818181818182,0.7636363636363637,0.205954021535455,0.15824629633985582,0.06491405460060667,0.8181818181818182,0.9338,0.044763332619404586,0.5710974775213751
5,25000,30000,5000,6,1,0,236,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.18255946606302323,0.12170631070868215,0.2241323817520291,0.294906838858603,0.1368561610898087,0.005654508009345315,0.21851029471134437,0.9089624545821559,0.30434782608695654,0.30434782608695654,0.0,0.6956521739130435,0.24345364607498987,0.21505968171255652,0.051271699636657245,1.0,0.9492,0.0482511588706279,0.5839720417749314
6,30000,35000,5000,8,1,0,296,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.2352277048055963,0.20909129316053005,0.26431760204081634,0.4159916698826066,0.17482932170325463,0.012495579636416308,0.3216675359678008,0.9264616011407618,0.18681318681318682,0.18681318681318682,0.0,0.8131868131868132,0.21102044580939155,0.21368028208175563,0.03992666530861683,1.0,0.9608,0.04975020815986678,0.58356538115172
7,35000,40000,5000,6,1,0,285,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.21625773547159932,0.14417182364773287,0.2874870579786056,0.32510052293598596,0.15395198015985176,0.08659644462283499,0.562541641989932,0.9157166123778502,0.6477272727272727,0.20454545454545456,0.4431818181818182,0.3522727272727273,0.431992504099436,0.21993140022835966,0.05578175895765472,0.5568181818181818,0.9374,0.03648389161510561,0.5808894435243426
8,40000,45000,5000,7,1,0,316,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.22432723583613107,0.17447673898365748,0.22232432058786727,0.37711965821928384,0.19285869949554624,0.005828259320243064,0.17752323232323236,0.8995959595959596,0.5,0.48,0.02,0.5,0.3621636179180655,0.2651807118063761,0.05353535353535353,0.98,0.9468,0.05428812843261512,0.5760786893553386
9,45000,50000,5000,6,1,0,413,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.18273593033649163,0.1218239535576611,0.19763955069710462,0.24676885791024475,0.1120558797310522,0.4516848289858885,0.8692408024013545,0.894758998105662,0.9477911646586346,0.08433734939759036,0.8634538152610441,0.05220883534136546,0.5652635474975631,0.17608781100593918,0.06314460113660282,0.13654618473895583,0.897,0.04749163879598662,0.5412392609836135
