evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.9873417721518988,0.16455696202531647,0.975,,0.32911392405063294,,,0.975,,0.9873417721518988,0.0,,1.0,0.025,0.6249663108295588
1,5000,10000,5000,1,0,0,0,False,Benign,0.98989898989899,0.16498316498316498,0.98,,0.32996632996632996,,,0.98,,0.98989898989899,0.0,,1.0,0.02,0.6311958830559301
2,10000,15000,5000,1,0,0,0,False,Benign,0.9920370930349763,0.1653395155058294,0.9842,,0.3306790310116588,,,0.9842,,0.9920370930349763,0.0,,1.0,0.0158,0.61804674539405
3,15000,20000,5000,1,0,0,0,False,Benign,0.9832231825114387,0.1638705304185731,0.967,,0.3277410608371462,,,0.967,,0.9832231825114387,0.0,,1.0,0.033,0.6026840152185691
4,20000,25000,5000,6,0,8,204,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3223447660545559,0.3223447660545559,0.3865002949007736,0.44540335862724917,0.3223447660545559,,,0.9414,,0.3223447660545559,0.0,,1.0,0.0586,0.5815929131138783
5,25000,30000,5000,6,0,12,437,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.28851079913957706,0.28851079913957706,0.33442940594134235,0.44632451980254556,0.28851079913957706,,,0.887,,0.28851079913957706,0.0,,1.0,0.113,0.5435518246237135
6,30000,35000,5000,6,0,20,528,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.31047853992927427,0.31047853992927427,0.3758640121541708,0.456353551365973,0.31047853992927427,,,0.8664,,0.31047853992927427,0.0,,1.0,0.1336,0.5192350024410378
7,35000,40000,5000,6,0,18,458,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.33960860029248935,0.33960860029248935,0.3781950534618801,0.5120031244722442,0.33960860029248935,,,0.9072,,0.33960860029248935,0.0,,1.0,0.0928,0.5543004352299975
8,40000,45000,5000,6,0,12,337,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.33631549108956094,0.33631549108956094,0.3863016842202911,0.47521635124102957,0.33631549108956094,,,0.9222,,0.33631549108956094,0.0,,1.0,0.0778,0.5651579715501152
9,45000,50000,5000,6,0,26,468,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3074893340250305,0.3074893340250305,0.3973925386046521,0.44755107804074873,0.3074893340250305,,,0.8686,,0.3074893340250305,0.0,,1.0,0.1314,0.525437488155864
10,50000,55000,5000,6,0,23,421,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.2779864469300234,0.2779864469300234,0.3162025391205972,0.4465319033753789,0.2779864469300234,,,0.8908,,0.2779864469300234,0.0,,1.0,0.1092,0.5404555108789411
11,55000,60000,5000,6,0,14,406,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.32612167202329295,0.32612167202329295,0.38173063546194447,0.5121836889832172,0.32612167202329295,,,0.9194,,0.32612167202329295,0.0,,1.0,0.0806,0.568462238735728
