evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,2,0,0,420,True,Backdoor|Benign,0.7600219195580125,0.16889375990178054,0.663323975878561,0.5394544957442876,0.19000547988950311,,,0.9042,,,,,0.7600219195580125,0.7600219195580125,0.065,,0.935,0.03294117647058824,0.5630508834797995
1,5000,10000,5000,2,0,0,621,True,Backdoor|Benign,0.6274906890130354,0.13944237533623008,0.5604135018583424,0.4886693239708779,0.1792830540037244,,,0.8618,,,,,0.6274906890130354,0.6274906890130354,0.0566,,0.9434,0.08649565401738393,0.5251491116308946
2,10000,15000,5000,2,0,0,676,True,Backdoor|Benign,0.5367945696363691,0.11928768214141534,0.5042182342669783,0.4380500311503891,0.1533698770389626,,,0.8354,,,,,0.5367945696363691,0.5367945696363691,0.0492,,0.9508,0.12137147665124107,0.5071784946526262
3,15000,20000,5000,3,0,0,559,True,Backdoor|Benign|Exploits,0.33069638608427887,0.11023212869475962,0.318560718191318,0.3909031251070941,0.11023212869475962,,,0.8404,,,,,0.33069638608427887,0.33069638608427887,0.0386,,0.9614,0.12585812356979406,0.5026181181681108
4,20000,25000,5000,8,1,0,319,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.18662095765376255,0.16588529569223337,0.22568056276131473,0.3289977901279474,0.1136634816579253,0.07520613211978906,0.5966210129607501,0.8988877654196158,0.18181818181818182,0.0,0.18181818181818182,0.8181818181818182,0.1842195697359722,0.13892203313746423,0.06511627906976744,0.8181818181818182,0.9336,0.04777206512425022,0.5651094323759561
5,25000,30000,5000,6,1,0,236,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.32756748055552837,0.21837832037035224,0.3711488944864259,0.32407997715370995,0.135289709169926,0.007615917185943194,0.43717856453283255,0.9138070246265644,0.0,0.0,0.0,1.0,0.16378374027776418,0.21259811440988372,0.05147355672184094,1.0,0.949,0.04594309799789252,0.5777279568306892
6,30000,35000,5000,8,1,0,296,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.31875355143166006,0.2833364901614756,0.3542198129251701,0.4453596916726201,0.1717637541036213,0.015595449829412024,0.46717063747008747,0.9323691179466287,0.0,0.0,0.0,1.0,0.15937677571583003,0.20993347723775935,0.040945202688938684,1.0,0.9598,0.04625963742446343,0.5774994995550927
7,35000,40000,5000,6,1,0,285,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.22652438055865018,0.15101625370576677,0.2535552644529003,0.3319678618924381,0.12111772311275297,0.09079859632850312,0.7111850384957061,0.9171416938110749,0.4431818181818182,0.0,0.4431818181818182,0.5568181818181818,0.33485309937023416,0.1730253187325042,0.05639250814332247,0.5568181818181818,0.9368,0.03821520068317677,0.5706418052367399
8,40000,45000,5000,7,1,0,316,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.33175951237061063,0.2580351762882527,0.35620693551314925,0.4454123425954702,0.16841151986357467,0.009580879384895264,0.5103272727272727,0.9121212121212121,0.02,0.0,0.02,0.98,0.17587975618530532,0.23156583981241516,0.05313131313131313,0.98,0.9472,0.04666385135135135,0.576374824841169
9,45000,50000,5000,6,1,0,413,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.2346081875731926,0.1564054583821284,0.23884528740643848,0.2516365454824062,0.09968527402982225,0.4264929478056585,0.9253067838603415,0.9012839402231109,0.8634538152610441,0.0,0.8634538152610441,0.13654618473895583,0.5490310014171184,0.15664828776114925,0.06272363712902547,0.13654618473895583,0.8974,0.04568754178738578,0.5362250020542256
10,50000,55000,5000,8,1,0,276,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.22330115973801018,0.19848991976712016,0.3494886483911939,0.3701241827244932,0.1391214191084075,0.0068089575184701835,0.5297552770604819,0.9113975030205397,0.0,0.0,0.0,1.0,0.11165057986900509,0.17003729002138698,0.048932742650020136,1.0,0.9514,0.04856001681732184,0.5621266133894275
11,55000,60000,5000,7,1,0,360,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.2699820198983239,0.20998601547647414,0.29357220521013627,0.41740246080187826,0.1433241904001159,0.015376392500443557,0.5994450713915976,0.891026939436905,0.047619047619047616,0.0,0.047619047619047616,0.9523809523809523,0.15880053375868575,0.19707076180015937,0.06765242049827831,0.9523809523809523,0.9326,0.05661591250268068,0.5399467734487151
12,60000,65000,5000,7,1,0,473,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.18419799994942987,0.1432651110717788,0.22101468936587262,0.3573873375475689,0.11418066234476254,0.009432276285943644,0.5454748907338822,0.8439644731530077,0.0,0.0,0.0,1.0,0.09209899997471493,0.1569984107240485,0.06984255147355672,1.0,0.9308,0.10163300386764074,0.5043421218594973
13,65000,70000,5000,7,1,0,660,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.22620233616904534,0.17593515035370194,0.2323539369421958,0.35632724787526937,0.13966088006596947,0.04345819312754869,0.6956359526396066,0.7846122614697524,0.4594594594594595,0.0,0.4594594594594595,0.5405405405405406,0.3428308978142524,0.19203371009070802,0.11896061713357693,0.5405405405405406,0.876,0.11757990867579908,0.47895024570606676
14,70000,75000,5000,7,1,0,577,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.24251008179992153,0.1886189525110501,0.3289623966249398,0.3478569279487881,0.15048909232134036,0.06927401008763612,0.6141228768735217,0.772479288745201,0.27450980392156865,0.0,0.27450980392156865,0.7254901960784313,0.2585099428607451,0.20692250194184303,0.13820973934128106,0.7254901960784313,0.8604,0.11134356113435612,0.4836330719537436
15,75000,80000,5000,8,1,0,618,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.22573153451702274,0.20065025290402022,0.31057601954519826,0.49762101194401276,0.15950348926187427,0.008962818560023691,0.4209756414701803,0.8468851132686084,0.0,0.0,0.0,1.0,0.11286576725851137,0.19494870909784628,0.0889967637540453,1.0,0.912,0.08179824561403509,0.5287543175949395
16,80000,85000,5000,7,1,0,536,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.21724545918459914,0.16896869047691046,0.33053030558790925,0.39369711628115034,0.1279803530481987,0.015076495710958664,0.42404859417422114,0.844711636437742,0.021505376344086023,0.0,0.021505376344086023,0.978494623655914,0.11937541776434259,0.1759729854412732,0.08436926839209292,0.978494623655914,0.9168,0.09576788830715532,0.509448271594304
17,85000,90000,5000,8,1,0,545,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.1846305492529646,0.16411604378041297,0.22763263475880297,0.41354193337172024,0.13148204237578665,0.008161844094351224,0.516735818974625,0.8436869705526422,0.0,0.0,0.0,1.0,0.0923152746264823,0.16070027401485037,0.0891488503428802,1.0,0.9116,0.0822729267222466,0.5066978812026383
18,90000,95000,5000,9,1,1,513,True,Analysis|Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.1947302736710078,0.1947302736710078,0.23748190345732295,0.4884652724905329,0.15383365367032226,0.009528546070187245,0.4749704212906801,0.8756570966437526,0.0,0.0,0.0,1.0,0.0973651368355039,0.16921701903735448,0.0646987464617873,1.0,0.936,0.07457264957264957,0.5332481352172047
