run_name,scenario,analysis_role,seed,source_dataset,target_dataset,score_scaling_contract,score_scaling_mode,detector,guard_status,selected_parameter,selected_parameter_name,selected_raw_threshold,guard_safe_candidate_count,post_change_detected,trigger_window,detection_delay_windows,trigger_shift_score,trigger_normalized_score,calibration_trigger_count,true_change_window,monitoring_start_window,target_labels_used,one_shot
E23_UNSW_Reconnaissance_core_profile_gate2_gate3,NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile,prespecified_second_episode_gate4_preflight,83,NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source,NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target,1.0-v021-source-anchored-max-scale,source_anchored_max,mad,passed,3.0,multiplier,0.1430984231395896,4,True,47,7,1.185349639166807,8.0,0,40,40,False,True
E23_UNSW_Reconnaissance_core_profile_gate2_gate3,NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile,prespecified_second_episode_gate4_preflight,83,NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source,NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target,1.0-v021-source-anchored-max-scale,source_anchored_max,adwin,passed,0.1,delta,,5,True,93,53,0.05556157093901761,-0.6926839102082124,0,40,40,False,True
E23_UNSW_Reconnaissance_core_profile_gate2_gate3,NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile,prespecified_second_episode_gate4_preflight,83,NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source,NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target,1.0-v021-source-anchored-max-scale,source_anchored_max,page_hinkley,passed,5.0,threshold,,4,True,41,1,0.25113281833566875,7.557359133448829,1,40,40,False,True
