window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,queried_label_counts,queried_target_row_indices,query_selection_sha256,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
152,76000,76500,500,0.648,0.7692307692307693,0.38461538461538464,0.625,,0.4239195858914169,0.511527935840756,0.12044051627384961,0.625,1.0,0.9135802469135802,0.08641975308641975,0.0,0.8846153846153846,0.8478391717828337,0.056818181818181816,0.9135802469135802,0.924,0.12121212121212122,0.37689747801440276,False,latched,0.7114343552299507,0.076,0,{},[],,200,False,0.6438159548874187,0.01995653500593242
153,76500,77000,500,0.468,0.8434782608695652,0.4217391304347826,0.7293233082706767,,0.4373652917131178,0.3836857979639341,0.2031681768523874,0.7293233082706767,1.0,0.905982905982906,0.09401709401709402,0.0,0.9217391304347826,0.8747305834262356,0.011278195488721804,0.905982905982906,0.95,0.14526315789473684,0.45143318262569804,False,latched,0.5007772727322995,0.05,0,{},[],,200,False,0.6438159548874187,0.01995653500593242
154,77000,77500,500,0.564,0.8279569892473119,0.41397849462365593,0.7064220183486238,,0.44476327766595947,0.36058581985382826,0.005921009824972347,0.7064220183486238,1.0,1.0,0.0,0.0,0.913978494623656,0.8895265553319189,0.022935779816513763,1.0,0.99,0.1191919191919192,0.4105497911272209,False,latched,0.4337232414571572,0.01,0,{},[],,200,False,0.6438159548874187,0.01995653500593242
155,77500,78000,500,0.56,0.8421052631578947,0.42105263157894735,0.7272727272727273,,0.45316063121408373,0.3569332712740656,0.0,0.7272727272727273,1.0,1.0,0.0,0.0,0.9210526315789473,0.9063212624281675,0.022727272727272728,1.0,0.99,0.1111111111111111,0.4028939822029507,False,latched,0.40134046771231235,0.01,0,{},[],,200,False,0.6438159548874187,0.01995653500593242
156,78000,78500,500,0.506,0.8457943925233645,0.42289719626168226,0.7327935222672065,,0.4465787096550047,0.31415531737384383,0.0059208526027748,0.7327935222672065,1.0,1.0,0.0,0.0,0.9228971962616823,0.8931574193100094,0.008097165991902834,1.0,0.996,0.1285140562248996,0.41295681802811013,False,latched,0.5921822455944193,0.004,0,{},[],,200,False,0.6438159548874187,0.01995653500593242
157,78500,79000,500,0.646,0.879746835443038,0.439873417721519,0.7853107344632768,,0.45379497657729495,0.5189143284622365,0.13219989155340994,0.7853107344632768,1.0,0.9195046439628483,0.0804953560371517,0.0,0.939873417721519,0.9075899531545899,0.02824858757062147,0.9195046439628483,0.938,0.07036247334754797,0.4224487370398112,False,latched,0.6792782131462168,0.062,0,{},[],,200,False,0.6438159548874187,0.01995653500593242
158,79000,79500,500,0.588,0.8555555555555555,0.42777777777777776,0.7475728155339806,,0.45064385577630606,0.4253103851421417,0.12552011095700416,0.7475728155339806,1.0,0.9727891156462585,0.027210884353741496,0.0,0.9277777777777778,0.9012877115526121,0.02912621359223301,0.9727891156462585,0.972,0.09465020576131687,0.47830077797172016,False,latched,0.4820644012700547,0.028,0,{},[],,200,False,0.6438159548874187,0.01995653500593242
159,79500,80000,500,0.04,0.8811188811188811,0.4405594405594406,0.7875,,0.24969148498560265,0.674263510679048,0.9550000000000001,0.7875,1.0,0.2,0.8,0.0,0.9405594405594406,0.4993829699712053,0.022916666666666665,0.2,0.946,0.19238900634249473,0.45576996988350144,False,latched,0.23751210563856903,0.054,0,{},[],,200,False,0.6438159548874187,0.01995653500593242
160,80000,80500,500,0.282,0.8112582781456954,0.4056291390728477,0.6824512534818942,,0.4158055060923151,0.15861575110924564,0.004820324384124538,0.6824512534818942,1.0,1.0,0.0,0.0,0.9056291390728477,0.8316110121846302,0.05013927576601671,1.0,0.964,0.1991701244813278,0.4094348992526899,False,latched,0.20207131152635224,0.036,0,{},[],,200,False,0.6438159548874187,0.01995653500593242
161,80500,81000,500,0.954,0.6857142857142857,0.34285714285714286,0.5217391304347826,,0.42064487236901027,0.8534877821077027,0.0,0.5217391304347826,1.0,1.0,0.0,0.0,0.8428571428571429,0.8412897447380205,0.043478260869565216,1.0,0.998,0.02004008016032064,0.4554925084010041,False,latched,0.6886735450817081,0.002,0,{},[],,200,False,0.6438159548874187,0.01995653500593242
162,81000,81500,500,0.144,0.8601864181091877,0.43009320905459386,0.7546728971962616,,0.3959511271403623,0.07772574216063603,0.0,0.7546728971962616,1.0,1.0,0.0,0.0,0.9300932090545939,0.7919022542807246,0.02336448598130841,1.0,0.98,0.19387755102040816,0.4426035779524999,False,latched,0.12147756092423455,0.02,0,{},[],,200,False,0.6438159548874187,0.01995653500593242
163,81500,82000,500,0.814,0.9248554913294798,0.4624277456647399,0.8602150537634409,,0.4796876213061184,0.6204988479993867,0.01357956196665873,0.8602150537634409,1.0,1.0,0.0,0.0,0.9624277456647399,0.9593752426122368,0.010752688172043012,1.0,0.998,0.02404809619238477,0.43540811143920716,False,latched,0.7749378479637211,0.002,0,{},[],,200,False,0.6438159548874187,0.01995653500593242
164,82000,82500,500,0.374,0.7677165354330708,0.3838582677165354,0.6230031948881789,,0.3931949566430778,0.35068074049637854,0.2102133911944098,0.6230031948881789,1.0,0.8502673796791443,0.1497326203208556,0.0,0.8838582677165354,0.7863899132861556,0.03514376996805112,0.8502673796791443,0.922,0.23210412147505424,0.34592468473570365,False,latched,0.6404901953308381,0.078,0,{},[],,200,False,0.6438159548874187,0.01995653500593242
165,82500,83000,500,0.656,0.7581227436823105,0.37906137184115524,0.6104651162790697,,0.3927660681759042,0.5476281948351048,0.1790626772546795,0.6104651162790697,0.9146341463414634,0.8475609756097561,0.06707317073170732,0.08536585365853659,0.836378445011887,0.7855321363518084,0.03488372093023256,0.9329268292682927,0.944,0.1885593220338983,0.37857742295868874,False,latched,0.5820567872692497,0.056,0,{},[],,200,False,0.6438159548874187,0.01995653500593242
