Condition,Selection strategy,Label budget,Seeds,Recovery area mean,Recovery area SD,Recovery area CI low,Recovery area CI high,Acquisition macro-F1 mean,Acquisition macro-F1 SD,Acquisition macro-F1 CI low,Acquisition macro-F1 CI high,Novel exact recall mean,Novel exact recall SD,Novel exact recall CI low,Novel exact recall CI high,Source forgetting mean,Source forgetting SD,Source forgetting CI low,Source forgetting CI high
Static,None,0,10,0.38073861598930214,0.012138976479104144,0.373912689105219,0.38812885682162424,0.39835343178165294,0.003346311188053432,0.39643547088730663,0.4003243806663319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random B50,random_nested,50,10,0.8747362613767594,0.004450713432306127,0.8724236554003149,0.8775751841552205,0.7986689091241723,0.01694998840300355,0.7894573205616524,0.8094108487793967,0.8430218446601941,0.0012794633820555328,0.842263349514563,0.8437651699029125,0.01619071364220507,0.0029251730763800166,0.014308562301934004,0.017704060836742967
UD B50,uncertainty_diversity,50,10,0.3719607842983598,0.00943195137272449,0.3665171159972235,0.37757101648419844,0.3932264482127497,0.002175230459661669,0.39192202734908094,0.3944845377130446,0.017278519417475685,0.006179116083101019,0.013812196601941712,0.021033070388349458,0.01813780948145642,0.004643474172397,0.015335593726216738,0.02076359637648518
Random B200,random_nested,200,10,0.8722379356338086,0.003303176257607928,0.8707129611453522,0.8744361476396143,0.7941725065574584,0.013977501805160516,0.7871413999813403,0.8032794419605688,0.8431583737864077,0.0014493455406978805,0.8423012742718446,0.8439927184466021,0.019070260246660177,0.003047138782421673,0.01705527045784601,0.020535569776665222
UD B200,uncertainty_diversity,200,10,0.8720059695381692,0.0031606268217012384,0.8703419433587554,0.8740474393083402,0.7924763770086523,0.012816626673179702,0.7857612801475164,0.8007458128089832,0.835524120145631,0.007257469316216953,0.8312727548543689,0.8397679952973301,0.018619722319905295,0.0038223418383145635,0.01607964518457806,0.020515194857979886
