budget,metric,query_seeds,mean,SD,minimum,maximum,bootstrap_95_low,bootstrap_95_high
50,Recovery area,10,0.87599043200106,0.007556210829820079,0.8615171937905822,0.8878365673618068,0.8715063631645942,0.8803968267914499
50,Acquisition macro-F1,10,0.8081229455782497,0.015292271939777348,0.7796782209162917,0.8313176233727939,0.7990351517556965,0.8170103557135693
50,Novel exact recall,10,0.8375606796116504,0.015235809921821017,0.7956234830097088,0.8445464199029126,0.8277685072815535,0.8436893203883494
50,Source forgetting,10,0.015190798147678871,0.005934540512618177,0.0031051563527072,0.022992291740551,0.01152382333338541,0.01846561688239364
50,DoS queried,10,46.3,1.8287822299126937,43.0,49.0,45.2,47.4
200,Recovery area,10,0.8773063199167208,0.00615053424895275,0.8702047479029483,0.8876324096816187,0.8737941203696619,0.8809942543553818
200,Acquisition macro-F1,10,0.8104451437466791,0.01226552057439996,0.796043783907439,0.8286437406335327,0.8033542947405813,0.8177739522263587
200,Novel exact recall,10,0.843583131067961,0.0003118143930687807,0.8431811286407767,0.8440154733009708,0.8434010922330095,0.8437651699029127
200,Source forgetting,10,0.015229143772294779,0.0058323780254286774,0.0052904242157651,0.0223320569660753,0.011693055856573474,0.018568143377142892
200,DoS queried,10,187.4,3.470510689285432,183.0,193.0,185.4,189.5
