run_name,method,seed,selection,budget,update_rule,queried_label,queried_count,labels_queried_total
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,109,random_nested,50,replay,Exploits,2,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,109,random_nested,50,replay,Reconnaissance,1,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,11,random_nested,50,replay,Benign,47,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,11,random_nested,50,replay,Exploits,2,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,11,random_nested,50,replay,Reconnaissance,1,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,127,random_nested,50,replay,Benign,47,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,127,random_nested,50,replay,Exploits,2,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,127,random_nested,50,replay,Reconnaissance,1,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,149,random_nested,50,replay,Benign,47,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,149,random_nested,50,replay,Exploits,2,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,149,random_nested,50,replay,Reconnaissance,1,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,23,random_nested,50,replay,Benign,47,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,23,random_nested,50,replay,Exploits,2,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,23,random_nested,50,replay,Reconnaissance,1,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,37,random_nested,50,replay,Benign,47,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,37,random_nested,50,replay,Exploits,2,50
