window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,queried_label_counts,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
180,90000,90500,500,0.0,0.2844414321840588,0.23703452682004902,0.34267734553775747,0.45517591990221345,0.23703452682004902,,,0.86,,0.2844414321840588,0.0,,1.0,0.14,0.5158778167223557,False,latched,0.20943188050296294,0.0,0,{},25,False,0.3392207444745827,0.0010537886272599661
181,90500,91000,500,0.0,0.3495401499343071,0.29128345827858926,0.3735035482875656,0.4601385447814479,0.29128345827858926,,,0.904,,0.3495401499343071,0.0,,1.0,0.096,0.5674320176179809,False,latched,0.15864913141597314,0.0,0,{},25,False,0.3392207444745827,0.0010537886272599661
182,91000,91500,500,0.0,0.20673328108672936,0.20673328108672936,0.22037623066104076,0.31856023920124693,0.20673328108672936,,,0.904,,0.20673328108672936,0.0,,1.0,0.096,0.5493807097305687,False,latched,0.13376684508288714,0.0,0,{},25,False,0.3392207444745827,0.0010537886272599661
183,91500,92000,500,0.0,0.4698894232745509,0.4698894232745509,0.6052054154995331,0.6462113620499413,0.4698894232745509,,,0.968,,0.4698894232745509,0.0,,1.0,0.032,0.6115245543720665,False,latched,0.0954526979334553,0.0,0,{},25,False,0.3392207444745827,0.0010537886272599661
184,92000,92500,500,0.0,0.1945305358328011,0.1945305358328011,0.2270767731294047,0.35619420057473367,0.1945305358328011,,,0.918,,0.1945305358328011,0.0,,1.0,0.082,0.541029128741277,False,latched,0.1185685503955713,0.0,0,{},25,False,0.3392207444745827,0.0010537886272599661
185,92500,93000,500,0.0,0.367373454432278,0.30614454536023167,0.5471827956989247,0.47998121727731313,0.30614454536023167,,,0.934,,0.367373454432278,0.0,,1.0,0.066,0.5610316581772796,False,latched,0.1389529287976356,0.0,0,{},25,False,0.3392207444745827,0.0010537886272599661
186,93000,93500,500,0.0,0.3650024867878216,0.3650024867878216,0.4170977610902517,0.4902645125356702,0.3650024867878216,,,0.942,,0.3650024867878216,0.0,,1.0,0.058,0.5755262670974519,False,latched,0.07910169041704258,0.0,0,{},25,False,0.3392207444745827,0.0010537886272599661
187,93500,94000,500,0.0,0.26370399036807707,0.26370399036807707,0.28836163836163836,0.45374811313890495,0.26370399036807707,,,0.908,,0.26370399036807707,0.0,,1.0,0.092,0.565704848645221,False,latched,0.15533872375395566,0.0,0,{},25,False,0.3392207444745827,0.0010537886272599661
188,94000,94500,500,0.0,0.36145095219624795,0.36145095219624795,0.4504801920768307,0.5507994093868659,0.36145095219624795,,,0.886,,0.36145095219624795,0.0,,1.0,0.114,0.5420510381982184,False,latched,0.2570603191673946,0.0,0,{},25,False,0.3392207444745827,0.0010537886272599661
189,94500,95000,500,0.0,0.3161676447452809,0.3161676447452809,0.38460519342872285,0.41789346170971925,0.3161676447452809,,,0.85,,0.3161676447452809,0.0,,1.0,0.15,0.4949259693786053,False,latched,0.2547938381560769,0.0,0,{},25,False,0.3392207444745827,0.0010537886272599661
190,95000,95500,500,0.0,0.2359471509555199,0.2359471509555199,0.32526881720430106,0.45711995618057627,0.2359471509555199,,,0.846,,0.2359471509555199,0.0,,1.0,0.154,0.4869269942407697,False,latched,0.2528718898515927,0.0,0,{},25,False,0.3392207444745827,0.0010537886272599661
191,95500,96000,500,0.0,0.2925179422704175,0.2925179422704175,0.3561279643083099,0.48899140334551927,0.2925179422704175,,,0.91,,0.2925179422704175,0.0,,1.0,0.09,0.5533748786485789,False,latched,0.1527024365803884,0.0,0,{},25,False,0.3392207444745827,0.0010537886272599661
192,96000,96500,500,0.0,0.4265808493246032,0.4265808493246032,0.5157112201103617,0.6042502420558094,0.4265808493246032,,,0.946,,0.4265808493246032,0.0,,1.0,0.054,0.5993048086451943,False,latched,0.1173601644433136,0.0,0,{},25,False,0.3392207444745827,0.0010537886272599661
193,96500,97000,500,0.0,0.3994391545628669,0.3994391545628669,0.42605065516139345,0.5898753813975662,0.3994391545628669,,,0.904,,0.3994391545628669,0.0,,1.0,0.096,0.5508978932797081,False,latched,0.1981796550013232,0.0,0,{},25,False,0.3392207444745827,0.0010537886272599661
194,97000,97500,500,0.0,0.28845493717927884,0.28845493717927884,0.2980361652236652,0.44947470659704075,0.28845493717927884,,,0.866,,0.28845493717927884,0.0,,1.0,0.134,0.5106309844176321,False,latched,0.19720990851990874,0.0,0,{},25,False,0.3392207444745827,0.0010537886272599661
195,97500,98000,500,0.0,0.30145973271696785,0.30145973271696785,0.38002817611215467,0.4486289387539362,0.30145973271696785,,,0.848,,0.30145973271696785,0.0,,1.0,0.152,0.5123468882088172,False,latched,0.19499620961794886,0.0,0,{},25,False,0.3392207444745827,0.0010537886272599661
196,98000,98500,500,0.0,0.3106723518094181,0.3106723518094181,0.40098091671125385,0.4050073769949584,0.3106723518094181,,,0.832,,0.3106723518094181,0.0,,1.0,0.168,0.48581369161662047,False,latched,0.2811130336675087,0.0,0,{},25,False,0.3392207444745827,0.0010537886272599661
197,98500,99000,500,0.0,0.25849126718691934,0.25849126718691934,0.3670698400312134,0.372698972244733,0.25849126718691934,,,0.872,,0.25849126718691934,0.0,,1.0,0.128,0.5293055588099335,False,latched,0.19490450386320501,0.0,0,{},25,False,0.3392207444745827,0.0010537886272599661
198,99000,99500,500,0.0,0.3342248475653218,0.3342248475653218,0.41263736263736267,0.5413739919761482,0.3342248475653218,,,0.906,,0.3342248475653218,0.0,,1.0,0.094,0.5480125599524559,False,latched,0.12840527273930544,0.0,0,{},25,False,0.3392207444745827,0.0010537886272599661
199,99500,100000,500,0.0,0.28034286541583747,0.28034286541583747,0.3472221247269156,0.4980697223915163,0.28034286541583747,,,0.858,,0.28034286541583747,0.0,,1.0,0.142,0.5057287332776131,False,latched,0.2758982385212423,0.0,0,{},25,False,0.3392207444745827,0.0010537886272599661
