window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,queried_label_counts,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
187,93500,94000,500,0.0,0.26370399036807707,0.26370399036807707,0.28836163836163836,0.45374811313890495,0.26370399036807707,,,0.908,,0.26370399036807707,0.0,,1.0,0.092,0.5654151855298315,False,latched,0.15533872375395566,0.0,0,{},50,False,0.3419347001483313,0.0
188,94000,94500,500,0.0,0.368415137071967,0.368415137071967,0.46028411364545824,0.5588203653521283,0.368415137071967,,,0.888,,0.368415137071967,0.0,,1.0,0.112,0.543541473717373,False,latched,0.2570603191673946,0.0,0,{},50,False,0.3419347001483313,0.0
189,94500,95000,500,0.0,0.3161676447452809,0.3161676447452809,0.38460519342872285,0.41789346170971925,0.3161676447452809,,,0.85,,0.3161676447452809,0.0,,1.0,0.15,0.49400851978837257,False,latched,0.2547938381560769,0.0,0,{},50,False,0.3419347001483313,0.0
190,95000,95500,500,0.0,0.2375710163945458,0.2375710163945458,0.32565284178187404,0.4611008826020599,0.2375710163945458,,,0.848,,0.2375710163945458,0.0,,1.0,0.152,0.48819579884618375,False,latched,0.2528718898515927,0.0,0,{},50,False,0.3419347001483313,0.0
191,95500,96000,500,0.0,0.3075705420004366,0.3075705420004366,0.37127947945982503,0.500605434776606,0.3075705420004366,,,0.912,,0.3075705420004366,0.0,,1.0,0.088,0.5545907702108064,False,latched,0.1527024365803884,0.0,0,{},50,False,0.3419347001483313,0.0
192,96000,96500,500,0.0,0.4478330539101411,0.4478330539101411,0.5365445534436951,0.6189000443342869,0.4478330539101411,,,0.948,,0.4478330539101411,0.0,,1.0,0.052,0.60048618686442,False,latched,0.1173601644433136,0.0,0,{},50,False,0.3419347001483313,0.0
193,96500,97000,500,0.0,0.42260220258883807,0.42260220258883807,0.4498601789709172,0.5989215403907244,0.42260220258883807,,,0.906,,0.42260220258883807,0.0,,1.0,0.094,0.552073854185481,False,latched,0.1981796550013232,0.0,0,{},50,False,0.3419347001483313,0.0
194,97000,97500,500,0.0,0.3426621612164486,0.3426621612164486,0.3721102392977393,0.48422378726812293,0.3426621612164486,,,0.874,,0.3426621612164486,0.0,,1.0,0.126,0.5177402190075046,False,latched,0.19720990851990874,0.0,0,{},50,False,0.3419347001483313,0.0
195,97500,98000,500,0.0,0.30145973271696785,0.30145973271696785,0.38002817611215467,0.4486289387539362,0.30145973271696785,,,0.848,,0.30145973271696785,0.0,,1.0,0.152,0.5117771909506317,False,latched,0.19499620961794886,0.0,0,{},50,False,0.3419347001483313,0.0
196,98000,98500,500,0.0,0.31795018476874315,0.31795018476874315,0.41764758337792046,0.4126506090049074,0.31795018476874315,,,0.834,,0.31795018476874315,0.0,,1.0,0.166,0.48692773231132,False,latched,0.2811130336675087,0.0,0,{},50,False,0.3419347001483313,0.0
197,98500,99000,500,0.0,0.2657157773470584,0.2657157773470584,0.36778514761347375,0.37993593794488995,0.2657157773470584,,,0.876,,0.2657157773470584,0.0,,1.0,0.124,0.5326078889654038,False,latched,0.19490450386320501,0.0,0,{},50,False,0.3419347001483313,0.0
198,99000,99500,500,0.0,0.3385676010902611,0.3385676010902611,0.41904761904761906,0.5562910412349029,0.3385676010902611,,,0.908,,0.3385676010902611,0.0,,1.0,0.092,0.549059080526336,False,latched,0.12840527273930544,0.0,0,{},50,False,0.3419347001483313,0.0
199,99500,100000,500,0.0,0.2807935312897458,0.2807935312897458,0.3472221247269156,0.49822823473075806,0.2807935312897458,,,0.858,,0.2807935312897458,0.0,,1.0,0.142,0.5038531244376244,False,latched,0.2758982385212423,0.0,0,{},50,False,0.3419347001483313,0.0
200,100000,100500,500,0.0,0.3337519936204147,0.3337519936204147,0.35027021099267447,0.5391871207594517,0.3337519936204147,,,0.896,,0.3337519936204147,0.0,,1.0,0.104,0.5617889117136162,False,latched,0.18535630382598992,0.0,0,{},50,False,0.3419347001483313,0.0
201,100500,101000,500,0.0,0.3344454467588796,0.3344454467588796,0.3525302199681432,0.5913170801880523,0.3344454467588796,,,0.902,,0.3344454467588796,0.0,,1.0,0.098,0.5590098344004517,False,latched,0.20068172198291487,0.0,0,{},50,False,0.3419347001483313,0.0
202,101000,101500,500,0.0,0.4734322869275098,0.31562152461833987,0.5070611577964519,0.4919600251106284,0.31562152461833987,,,0.942,,0.4734322869275098,0.0,,1.0,0.058,0.5240741809077786,False,latched,0.1379214271718555,0.0,0,{},50,False,0.3419347001483313,0.0
203,101500,102000,500,0.0,0.2927126401316466,0.2927126401316466,0.39676220806794055,0.46446612058335934,0.2927126401316466,,,0.922,,0.2927126401316466,0.0,,1.0,0.078,0.5095647229983714,False,latched,0.18985740775025522,0.0,0,{},50,False,0.3419347001483313,0.0
204,102000,102500,500,0.0,0.3130057959492155,0.3130057959492155,0.3747276688453159,0.5220259971897139,0.3130057959492155,,,0.942,,0.3130057959492155,0.0,,1.0,0.058,0.5354712776898923,False,latched,0.12398401056833465,0.0,0,{},50,False,0.3419347001483313,0.0
205,102500,103000,500,0.0,0.4005221038503482,0.33376841987529016,0.6125641025641025,0.5003588604876126,0.33376841987529016,,,0.918,,0.4005221038503482,0.0,,1.0,0.082,0.5355584875026426,False,latched,0.178668110763578,0.0,0,{},50,False,0.3419347001483313,0.0
206,103000,103500,500,0.0,0.26506114097338374,0.22088428414448646,0.3214471968709257,0.3661339320016058,0.22088428414448646,,,0.908,,0.26506114097338374,0.0,,1.0,0.092,0.5729945751168163,False,latched,0.11966188757421962,0.0,0,{},50,False,0.3419347001483313,0.0
207,103500,104000,500,0.0,0.4130806010928961,0.2753870673952641,0.4100877192982456,0.3288205482256855,0.2753870673952641,,,0.966,,0.4130806010928961,0.0,,1.0,0.034,0.6040869010951335,False,latched,0.06955996503499108,0.0,0,{},50,False,0.3419347001483313,0.0
