window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,queried_label_counts,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
178,89000,89500,500,0.0,0.43399268397973323,0.361660569983111,0.43491917868064656,0.590543728008287,0.361660569983111,,,0.896,,0.43399268397973323,0.0,,1.0,0.104,0.5503510330477126,False,latched,0.20941244816908477,0.0,0,{},50,False,0.34161943793542465,0.0
179,89500,90000,500,0.0,0.36848770837999417,0.36848770837999417,0.39484878547378544,0.5611339683289948,0.36848770837999417,,,0.906,,0.36848770837999417,0.0,,1.0,0.094,0.5613953909161826,False,latched,0.19150439626717414,0.0,0,{},50,False,0.34161943793542465,0.0
180,90000,90500,500,0.0,0.3521072731494535,0.2934227276245446,0.3832593440122044,0.4977183864190802,0.2934227276245446,,,0.874,,0.3521072731494535,0.0,,1.0,0.126,0.5289785127761819,False,latched,0.20943188050296294,0.0,0,{},50,False,0.34161943793542465,0.0
181,90500,91000,500,0.0,0.350709740577582,0.292258117147985,0.3735035482875656,0.4603626217494316,0.292258117147985,,,0.904,,0.350709740577582,0.0,,1.0,0.096,0.5664228811161232,False,latched,0.15864913141597314,0.0,0,{},50,False,0.34161943793542465,0.0
182,91000,91500,500,0.0,0.20691848517467462,0.20691848517467462,0.2207278481012658,0.3228431022111436,0.20691848517467462,,,0.906,,0.20691848517467462,0.0,,1.0,0.094,0.5507866999129236,False,latched,0.13376684508288714,0.0,0,{},50,False,0.34161943793542465,0.0
183,91500,92000,500,0.0,0.4698894232745509,0.4698894232745509,0.6052054154995331,0.6462113620499413,0.4698894232745509,,,0.968,,0.4698894232745509,0.0,,1.0,0.032,0.6106286717563433,False,latched,0.0954526979334553,0.0,0,{},50,False,0.34161943793542465,0.0
184,92000,92500,500,0.0,0.1945305358328011,0.1945305358328011,0.2270767731294047,0.35619420057473367,0.1945305358328011,,,0.918,,0.1945305358328011,0.0,,1.0,0.082,0.5399002471830617,False,latched,0.1185685503955713,0.0,0,{},50,False,0.34161943793542465,0.0
185,92500,93000,500,0.0,0.367373454432278,0.30614454536023167,0.5471827956989247,0.47998121727731313,0.30614454536023167,,,0.934,,0.367373454432278,0.0,,1.0,0.066,0.5599356270954173,False,latched,0.1389529287976356,0.0,0,{},50,False,0.34161943793542465,0.0
186,93000,93500,500,0.0,0.37443584784010314,0.37443584784010314,0.4269016826588791,0.5154634728004893,0.37443584784010314,,,0.944,,0.37443584784010314,0.0,,1.0,0.056,0.5764399605555565,False,latched,0.07910169041704258,0.0,0,{},50,False,0.34161943793542465,0.0
187,93500,94000,500,0.0,0.26370399036807707,0.26370399036807707,0.28836163836163836,0.45374811313890495,0.26370399036807707,,,0.908,,0.26370399036807707,0.0,,1.0,0.092,0.5652198469990714,False,latched,0.15533872375395566,0.0,0,{},50,False,0.34161943793542465,0.0
188,94000,94500,500,0.0,0.368415137071967,0.368415137071967,0.46028411364545824,0.5588203653521283,0.368415137071967,,,0.888,,0.368415137071967,0.0,,1.0,0.112,0.5433480870400414,False,latched,0.2570603191673946,0.0,0,{},50,False,0.34161943793542465,0.0
189,94500,95000,500,0.0,0.3161676447452809,0.3161676447452809,0.38460519342872285,0.41789346170971925,0.3161676447452809,,,0.85,,0.3161676447452809,0.0,,1.0,0.15,0.4938756883836182,False,latched,0.2547938381560769,0.0,0,{},50,False,0.34161943793542465,0.0
190,95000,95500,500,0.0,0.2375710163945458,0.2375710163945458,0.32565284178187404,0.4611008826020599,0.2375710163945458,,,0.848,,0.2375710163945458,0.0,,1.0,0.152,0.488028813127955,False,latched,0.2528718898515927,0.0,0,{},50,False,0.34161943793542465,0.0
191,95500,96000,500,0.0,0.3075705420004366,0.3075705420004366,0.37127947945982503,0.500605434776606,0.3075705420004366,,,0.912,,0.3075705420004366,0.0,,1.0,0.088,0.5544556291586407,False,latched,0.1527024365803884,0.0,0,{},50,False,0.34161943793542465,0.0
192,96000,96500,500,0.0,0.4478330539101411,0.4478330539101411,0.5365445534436951,0.6189000443342869,0.4478330539101411,,,0.948,,0.4478330539101411,0.0,,1.0,0.052,0.6003220042241575,False,latched,0.1173601644433136,0.0,0,{},50,False,0.34161943793542465,0.0
193,96500,97000,500,0.0,0.42260220258883807,0.42260220258883807,0.4498601789709172,0.5989215403907244,0.42260220258883807,,,0.906,,0.42260220258883807,0.0,,1.0,0.094,0.5520610147542248,False,latched,0.1981796550013232,0.0,0,{},50,False,0.34161943793542465,0.0
194,97000,97500,500,0.0,0.3426621612164486,0.3426621612164486,0.3721102392977393,0.48422378726812293,0.3426621612164486,,,0.874,,0.3426621612164486,0.0,,1.0,0.126,0.5176537693239035,False,latched,0.19720990851990874,0.0,0,{},50,False,0.34161943793542465,0.0
195,97500,98000,500,0.0,0.296174120747879,0.296174120747879,0.3727817993005605,0.43706569286533414,0.296174120747879,,,0.846,,0.296174120747879,0.0,,1.0,0.154,0.5096964894610847,False,latched,0.19499620961794886,0.0,0,{},50,False,0.34161943793542465,0.0
196,98000,98500,500,0.0,0.31795018476874315,0.31795018476874315,0.41764758337792046,0.4126506090049074,0.31795018476874315,,,0.834,,0.31795018476874315,0.0,,1.0,0.166,0.4868693482890674,False,latched,0.2811130336675087,0.0,0,{},50,False,0.34161943793542465,0.0
197,98500,99000,500,0.0,0.2657157773470584,0.2657157773470584,0.36778514761347375,0.37993593794488995,0.2657157773470584,,,0.876,,0.2657157773470584,0.0,,1.0,0.124,0.5325007084076732,False,latched,0.19490450386320501,0.0,0,{},50,False,0.34161943793542465,0.0
198,99000,99500,500,0.0,0.3385676010902611,0.3385676010902611,0.41904761904761906,0.5562910412349029,0.3385676010902611,,,0.908,,0.3385676010902611,0.0,,1.0,0.092,0.5489896139230057,False,latched,0.12840527273930544,0.0,0,{},50,False,0.34161943793542465,0.0
