window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,queried_label_counts,queried_target_row_indices,query_selection_sha256,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
174,87000,87500,500,0.644,0.7330960854092526,0.2443653618030842,0.5786516853932584,,0.3330157438546436,0.45186154692374747,0.1167038872217182,0.5786516853932584,1.0,1.0,0.0,0.0,0.8665480427046264,0.832539359636609,0.03932584269662921,1.0,0.986,0.13793103448275862,0.3767574210998663,False,latched,0.7355953338283369,0.014,0,{},[],,50,False,0.499511988365346,0.019830828742116224
175,87500,88000,500,0.598,0.7630769230769231,0.25435897435897437,0.6169154228855721,,0.341258917738413,0.4426634733179381,0.19266543536498112,0.6169154228855721,1.0,1.0,0.0,0.0,0.8815384615384616,0.8531472943460325,0.03482587064676617,1.0,0.986,0.14198782961460446,0.4088365665882987,False,latched,0.7621902053313218,0.014,0,{},[],,50,False,0.499511988365346,0.019830828742116224
176,88000,88500,500,0.658,0.6744186046511628,0.22480620155038758,0.5087719298245614,,0.32155038759689925,0.48830185277364535,0.1542153255479124,0.5087719298245614,1.0,1.0,0.0,0.0,0.8372093023255813,0.8038759689922481,0.017543859649122806,1.0,0.994,0.16297786720321933,0.3395722317560765,False,latched,0.7373894234787578,0.006,0,{},[],,50,False,0.499511988365346,0.019830828742116224
177,88500,89000,500,0.698,0.6637168141592921,0.22123893805309736,0.4966887417218543,,0.3208835245569258,0.5735471292101098,0.24491925842995121,0.4966887417218543,1.0,1.0,0.0,0.0,0.831858407079646,0.8022088113923145,0.019867549668874173,1.0,0.994,0.14688128772635814,0.3508408946634539,False,latched,0.8221250399350589,0.006,0,{},[],,50,False,0.499511988365346,0.019830828742116224
178,89000,89500,500,0.638,0.7892976588628763,0.2630992196209588,0.6519337016574586,,0.34745834306529444,0.5241154785131865,0.2895616481061328,0.6519337016574586,1.0,1.0,0.0,0.0,0.8946488294314381,0.8686458576632361,0.027624309392265192,1.0,0.99,0.11717171717171718,0.4127173511475218,False,latched,0.7860163949927117,0.01,0,{},[],,50,False,0.499511988365346,0.019830828742116224
179,89500,90000,500,0.564,0.7613636363636364,0.2537878787878788,0.6146788990825688,,0.3390276941601445,0.5130778168029301,0.4065163641095712,0.6146788990825688,1.0,1.0,0.0,0.0,0.8806818181818181,0.8475692354003612,0.045871559633027525,1.0,0.98,0.1510204081632653,0.41958355100715206,False,latched,0.7756267366248601,0.02,0,{},[],,50,False,0.499511988365346,0.019830828742116224
180,90000,90500,500,0.532,0.8121827411167513,0.2707275803722504,0.6837606837606838,,0.3538034546981704,0.47268992237340596,0.39716277874172606,0.6837606837606838,1.0,1.0,0.0,0.0,0.9060913705583756,0.884508636745426,0.021367521367521368,1.0,0.99,0.1393939393939394,0.45170736248417714,False,latched,0.7590329301574145,0.01,0,{},[],,50,False,0.499511988365346,0.019830828742116224
181,90500,91000,500,0.488,0.7692307692307693,0.25641025641025644,0.625,,0.3268957992362248,0.49088845135449233,0.515592981557377,0.625,1.0,1.0,0.0,0.0,0.8846153846153846,0.817239498090562,0.03125,1.0,0.984,0.17886178861788618,0.45922543032363355,False,latched,0.8693126570332107,0.016,0,{},[],,50,False,0.499511988365346,0.019830828742116224
182,91000,91500,500,0.6,0.8235294117647058,0.2745098039215686,0.7,,0.353980330302468,0.5459837166176673,0.41301666666666664,0.7,1.0,1.0,0.0,0.0,0.9117647058823529,0.88495082575617,0.02,1.0,0.992,0.11290322580645161,0.5013955739898134,False,latched,0.9175909234209878,0.008,0,{},[],,50,False,0.499511988365346,0.019830828742116224
183,91500,92000,500,0.69,0.702928870292887,0.23430962343096232,0.5419354838709678,,0.32859667324113867,0.5568542247856803,0.2605142589995325,0.5419354838709678,1.0,1.0,0.0,0.0,0.8514644351464435,0.8214916831028467,0.01935483870967742,1.0,0.994,0.13682092555331993,0.43191719085679703,False,latched,0.9232683987624875,0.006,0,{},[],,50,False,0.499511988365346,0.019830828742116224
184,92000,92500,500,0.76,0.6363636363636364,0.21212121212121213,0.4666666666666667,,0.3213978869151283,0.6105135374543095,0.19864035087719298,0.4666666666666667,1.0,1.0,0.0,0.0,0.8181818181818181,0.8034947172878207,0.016666666666666666,1.0,0.996,0.12449799196787148,0.38655828911862966,False,latched,0.8928214059009877,0.004,0,{},[],,50,False,0.499511988365346,0.019830828742116224
185,92500,93000,500,0.662,0.7293233082706767,0.2431077694235589,0.5739644970414202,,0.3360945467116066,0.5028554784451078,0.18684638624215666,0.5739644970414202,1.0,1.0,0.0,0.0,0.8646616541353384,0.8402363667790165,0.029585798816568046,1.0,0.99,0.13535353535353536,0.3976647025623341,False,latched,0.8107002803317823,0.01,0,{},[],,50,False,0.499511988365346,0.019830828742116224
186,93000,93500,500,0.612,0.7443365695792881,0.2481121898597627,0.5927835051546392,,0.3365973752655509,0.4484788336715945,0.17134963951216226,0.5927835051546392,1.0,1.0,0.0,0.0,0.872168284789644,0.8414934381638772,0.015463917525773196,1.0,0.994,0.1529175050301811,0.36837976669787087,False,latched,0.6953309780027376,0.006,0,{},[],,50,False,0.499511988365346,0.019830828742116224
187,93500,94000,500,0.472,0.7806004618937644,0.2602001539645881,0.6401515151515151,,0.33356370140130925,0.36710077837112015,0.2733853364149974,0.6401515151515151,1.0,1.0,0.0,0.0,0.8903002309468822,0.8339092535032732,0.011363636363636364,1.0,0.994,0.1851106639839034,0.37399679134591635,False,latched,0.5896428432293133,0.006,0,{},[],,50,False,0.499511988365346,0.019830828742116224
188,94000,94500,500,0.566,0.7383720930232558,0.24612403100775193,0.5852534562211982,,0.3299610530651987,0.44063081548282096,0.27245933139014183,0.5852534562211982,1.0,1.0,0.0,0.0,0.8691860465116279,0.8249026326629967,0.004608294930875576,1.0,0.998,0.17835671342685372,0.37294971571332447,False,latched,0.6936110836217912,0.002,0,{},[],,50,False,0.499511988365346,0.019830828742116224
