metric,metric_field,higher_is_better,analysis_role,confirmatory,contrast_id,contrast,n_seeds,seeds,mean_difference,std_difference,positive_seed_count,negative_seed_count,zero_seed_count,bootstrap_95_low,bootstrap_95_high,exact_sign_flip_p_raw,holm_p_confirmatory
Normalized recovery area,primary_normalized_recovery_area,True,confirmatory,True,ud_vs_random,Uncertainty-diversity minus random,10,"[11, 23, 37, 53, 71, 83, 97, 109, 127, 149]",-0.0080571722109197,0.008249269290353972,2,8,0,-0.012943907910954061,-0.00326613063060689,0.017578125,0.017578125
Normalized recovery area,primary_normalized_recovery_area,True,confirmatory,True,budget_200_vs_50,Budget 200 minus budget 50,10,"[11, 23, 37, 53, 71, 83, 97, 109, 127, 149]",0.009212501133037931,0.008124029142888085,9,1,0,0.004407765957224636,0.013949350153983913,0.005859375,0.01171875
Normalized recovery area,primary_normalized_recovery_area,True,confirmatory,True,ud_b200_vs_static,Uncertainty-diversity budget 200 minus static,10,"[11, 23, 37, 53, 71, 83, 97, 109, 127, 149]",0.026167187174942826,0.0131322479406977,10,0,0,0.018063449302953873,0.03336570654069494,0.001953125,0.005859375
