evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.871331828442438,0.435665914221219,0.772,,0.290443942814146,,,0.772,,,,,0.871331828442438,0.871331828442438,0.0632,,0.9368,0.17591801878736124,0.485902572852528
1,5000,10000,5000,1,0,0,0,False,Benign,0.8601390630343098,0.4300695315171549,0.7546,,0.2867130210114366,,,0.7546,,,,,0.8601390630343098,0.8601390630343098,0.112,,0.888,0.15022522522522522,0.4814455519225231
2,10000,15000,5000,1,0,0,0,False,Benign,0.872858431018936,0.436429215509468,0.7744,,0.2909528103396453,,,0.7744,,,,,0.872858431018936,0.872858431018936,0.1118,,0.8882,0.1281242963296555,0.4797421047474325
3,15000,20000,5000,1,0,0,0,False,Benign,0.8647973663298899,0.43239868316494495,0.7618,,0.28826578877662995,,,0.7618,,,,,0.8647973663298899,0.8647973663298899,0.0938,,0.9062,0.1593467225777974,0.46517736186847236
4,20000,25000,5000,1,1,0,2084,True,Benign|DoS,0.8373205741626795,0.41866028708133973,0.720164609053498,,0.37147599591419816,0.2691126266984381,0.09871968542082994,0.720164609053498,0.6626679462571977,0.6444337811900192,0.018234165067178502,0.3373320537428023,0.7499942602099385,0.7429519918283963,0.022290809327846366,0.9817658349328215,0.9794,0.29691647947723093,0.28876913347080485
5,25000,30000,5000,1,1,0,2483,True,Benign|DoS,0.8566886213945037,0.4283443106972519,0.7493047278506159,,0.4440984548055693,0.35300856102456346,0.10700206777561395,0.7493047278506159,1.0,0.954893274265002,0.045106725734997986,0.0,0.9283443106972519,0.8881969096111386,0.018275725069527213,0.954893274265002,0.9684,0.120817843866171,0.40947894930030876
6,30000,35000,5000,1,1,0,2571,True,Benign|DoS,0.8217317487266553,0.41086587436332767,0.6974063400576369,,0.43662474351313496,0.34915695731724505,0.06783391212015963,0.6974063400576369,1.0,0.9657720731232984,0.034227926876701675,0.0,0.9108658743633277,0.8732494870262699,0.020172910662824207,0.9657720731232984,0.9726,0.14106518609911578,0.3892679729076138
7,35000,40000,5000,1,1,0,3182,True,Benign|DoS,0.8282307444408636,0.4141153722204318,0.7068206820682068,,0.44532315082889795,0.4595672872705209,0.07859183152759022,0.7068206820682068,1.0,0.9635449402891263,0.036455059710873663,0.0,0.9141153722204318,0.8906463016577959,0.028052805280528052,0.9635449402891263,0.9666,0.09973101593213325,0.4039292771596001
8,40000,45000,5000,1,1,0,2458,True,Benign|DoS,0.8392694063926941,0.41963470319634705,0.7230527143981117,,0.4086462311498731,0.38804342672093395,0.18838564996584634,0.7230527143981117,0.8803905614320586,0.8291293734743694,0.05126118795768918,0.11960943856794141,0.8598299839123764,0.8172924622997462,0.01730920535011802,0.9487388120423108,0.966,0.19751552795031055,0.3772850513908539
9,45000,50000,5000,1,1,0,1414,True,Benign|DoS,0.8250327653997379,0.41251638269986896,0.702175125488009,,0.35915001516472367,0.2505850300096413,0.28906654907383816,0.702175125488009,0.7454031117397454,0.6944837340876945,0.05091937765205092,0.2545968882602546,0.7852179385697416,0.7183000303294473,0.02063580591187953,0.9490806223479491,0.9708,0.27894519983518745,0.3555845731339159
10,50000,55000,5000,1,0,0,0,False,Benign,0.8200589970501475,0.41002949852507375,0.695,,0.20501474926253688,,,0.695,,,,,0.8200589970501475,0.8200589970501475,0.0252,,0.9748,0.2870332375871974,0.3855646820024565
11,55000,60000,5000,1,0,0,0,False,Benign,0.8056849396870894,0.4028424698435447,0.6746,,0.20142123492177236,,,0.6746,,,,,0.8056849396870894,0.8056849396870894,0.048,,0.952,0.29138655462184876,0.3687913652737565
12,60000,65000,5000,1,0,0,0,False,Benign,0.8178271663317177,0.40891358316585885,0.6918,,0.20445679158292943,,,0.6918,,,,,0.8178271663317177,0.8178271663317177,0.03,,0.97,0.28680412371134023,0.3907159666595606
13,65000,70000,5000,1,1,0,1819,True,Benign|DoS,0.8152700186219739,0.40763500931098695,0.6881483810122603,,0.21162000427782723,0.3313093688145592,0.48090962022135625,0.6881483810122603,0.14898295766904893,0.14898295766904893,0.0,0.8510170423309511,0.4821264881455114,0.42324000855565447,0.02672115686890915,1.0,0.983,0.49949135300101727,0.1644060148406231
14,70000,75000,5000,1,1,0,3219,True,Benign|DoS,0.82558522914606,0.41279261457303,0.7029758562605278,,0.44242257484912956,0.46265569360282205,0.05754993119704924,0.7029758562605278,1.0,0.9602360981671326,0.03976390183286735,0.0,0.9127926145730301,0.8848451496982591,0.04267265581134194,0.9602360981671326,0.9592,0.0944537114261885,0.4258133545401706
15,75000,80000,5000,1,1,0,2720,True,Benign|DoS,0.8391038696537678,0.4195519348268839,0.7228070175438597,,0.4437577628801562,0.3733646729323077,0.06329431114551085,0.7228070175438597,1.0,0.9639705882352941,0.03602941176470588,0.0,0.9195519348268839,0.8875155257603125,0.021052631578947368,0.9639705882352941,0.9708,0.12031314379892871,0.4205994592867785
16,80000,85000,5000,1,1,0,2674,True,Benign|DoS,0.8013398608606029,0.40066993043030147,0.6685296646603611,,0.4242953459755196,0.36282697416586857,0.07866072513828588,0.6685296646603611,0.9700822737471952,0.9401645474943904,0.029917726252804786,0.029917726252804786,0.885711067303899,0.8485906919510392,0.027944969905417026,0.9700822737471952,0.971,0.16189495365602471,0.4037366315012851
17,85000,90000,5000,1,1,0,1730,True,Benign|DoS,0.7882156753752084,0.3941078376876042,0.6504587155963303,,0.3990626665676593,0.22695386450595598,0.12810167753796114,0.6504587155963303,0.9132947976878613,0.8624277456647399,0.05086705202312139,0.08670520231213873,0.8507552365315348,0.7981253331353186,0.0981651376146789,0.9491329479768786,0.9182,0.21171857983010237,0.33586408834330206
18,90000,95000,5000,1,1,0,14,True,Benign|DoS,0.7957976089844222,0.3978988044922111,0.6608503810669876,,0.19866152176534427,0.00984062201369709,0.8275456993868546,0.6608503810669876,0.14285714285714285,0.0,0.14285714285714285,0.8571428571428571,0.46932737592078255,0.39732304353068854,0.09245888487765744,0.8571428571428571,0.9074,0.2737491734626405,0.3688643259979338
19,95000,100000,5000,1,0,0,0,False,Benign,0.8035415171093563,0.40177075855467814,0.6716,,0.20088537927733907,,,0.6716,,,,,0.8035415171093563,0.8035415171093563,0.0438,,0.9562,0.29763647772432544,0.37183851613016944
20,100000,105000,5000,1,0,0,0,False,Benign,0.811504635131923,0.4057523175659615,0.6828,,0.20287615878298074,,,0.6828,,,,,0.811504635131923,0.811504635131923,0.044,,0.956,0.28577405857740584,0.3830533090934341
21,105000,110000,5000,1,0,0,0,False,Benign,0.8278044777868948,0.4139022388934474,0.7062,,0.2069511194467237,,,0.7062,,,,,0.8278044777868948,0.8278044777868948,0.0302,,0.9698,0.2718086203340895,0.402151796967764
22,110000,115000,5000,1,0,0,0,False,Benign,0.8388295401764979,0.41941477008824896,0.7224,,0.20970738504412448,,,0.7224,,,,,0.8388295401764979,0.8388295401764979,0.024,,0.976,0.2598360655737705,0.40972973209682734
23,115000,120000,5000,1,0,0,0,False,Benign,0.8493844206650558,0.4246922103325279,0.7382,,0.21234610516626395,,,0.7382,,,,,0.8493844206650558,0.8493844206650558,0.0274,,0.9726,0.24100349578449518,0.4246390555459757
