evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,2,0,0,420,True,Backdoor|Benign,0.7549405726381253,0.16776457169736117,0.6585620711166562,0.5348025599224845,0.18873514315953133,,,0.9034,,,,,0.7549405726381253,0.7549405726381253,0.0594,,0.9406,0.03954922389963853,0.5631510225145558
1,5000,10000,5000,2,0,0,621,True,Backdoor|Benign,0.6417464206123882,0.14261031569164181,0.5701895189270707,0.4971600665263713,0.16043660515309704,,,0.8644,,,,,0.6417464206123882,0.6417464206123882,0.0522,,0.9478,0.08799324752057396,0.529683220446895
2,10000,15000,5000,2,0,0,676,True,Backdoor|Benign,0.5423645502572046,0.12052545561271215,0.507408081493686,0.4422869935466226,0.13559113756430116,,,0.8366,,,,,0.5423645502572046,0.5423645502572046,0.0486,,0.9514,0.12066428421273911,0.5109132001904901
3,15000,20000,5000,3,0,0,559,True,Backdoor|Benign|Exploits,0.3306612426473037,0.11022041421576789,0.3186357763613998,0.3910089031488921,0.11022041421576789,,,0.8406,,,,,0.3306612426473037,0.3306612426473037,0.039,,0.961,0.12528616024973985,0.5050095450701393
4,20000,25000,5000,8,1,0,319,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.15827449099318347,0.1406884364383853,0.21736419695148881,0.33466047366879675,0.11746457814702463,0.08011163592068318,0.5968600055152127,0.9003033367037412,0.23636363636363636,0.05454545454545454,0.18181818181818182,0.7636363636363637,0.1973190636784099,0.14356781773525232,0.06572295247724974,0.8181818181818182,0.933,0.04501607717041801,0.5693310156314916
5,25000,30000,5000,6,1,0,236,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.17477845857629948,0.11651897238419966,0.22406241253848305,0.2957194826225863,0.13332567092452832,0.005734562578534088,0.23538730231170243,0.9085587404117884,0.30434782608695654,0.30434782608695654,0.0,0.6956521739130435,0.239563142331628,0.20951176859568735,0.053088413403310455,1.0,0.9474,0.046865104496516784,0.5839488184130245
6,30000,35000,5000,8,1,0,296,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.16741196324032065,0.14881063399139613,0.20494260204081632,0.35235708084316014,0.1407457843696165,0.012661637949928282,0.3316738262755782,0.9193318394785088,0.18681318681318682,0.18681318681318682,0.0,0.8131868131868132,0.17711257502675373,0.1720226253406424,0.040945202688938684,1.0,0.9598,0.05605334444675974,0.5767259283075437
7,35000,40000,5000,6,1,0,285,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.2570438540321557,0.17136256935477048,0.3215032093268011,0.3272296439970542,0.17843831300900298,0.08441712964882135,0.5743378923600829,0.9159201954397395,0.6477272727272727,0.20454545454545456,0.4431818181818182,0.3522727272727273,0.4523855633797142,0.2549118757271471,0.05741042345276873,0.5568181818181818,0.9358,0.0346227826458645,0.5811232925722971
8,40000,45000,5000,7,1,0,316,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.27655599527531527,0.2150991074363563,0.29137568632457833,0.4358126995364699,0.22432756611316151,0.005864476271080376,0.18808888888888892,0.9084848484848485,0.5,0.48,0.02,0.5,0.38827799763765763,0.30845040340559715,0.054343434343434346,0.98,0.946,0.044186046511627906,0.5856631714933698
9,45000,50000,5000,6,1,0,413,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.16932098068487364,0.11288065378991576,0.19619758738463774,0.24628095180663653,0.10583786203634911,0.42697166605648756,0.8680015790376829,0.895390444117028,0.9477911646586346,0.08433734939759036,0.8634538152610441,0.05220883534136546,0.5585560726717541,0.1663166403428343,0.06440749315933487,0.13654618473895583,0.8958,0.04554588077695914,0.5424827595697124
10,50000,55000,5000,8,1,0,276,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.12172193324664066,0.10819727399701391,0.11888759525825572,0.32875917129285753,0.13655248661505254,0.004320793556294461,0.24472293951813512,0.9047523157470801,0.4117647058823529,0.4117647058823529,0.0,0.5882352941176471,0.2667433195644968,0.16689748364061976,0.049335481272654046,1.0,0.951,0.05215562565720294,0.5671695054300191
11,55000,60000,5000,7,1,0,360,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.2158148714031067,0.1678560110913052,0.23496288776461188,0.346172926072995,0.1745007870512952,0.010880813761290018,0.4220704688600171,0.8736074539193842,0.2698412698412698,0.2222222222222222,0.047619047619047616,0.7301587301587301,0.24282807062218825,0.21812598381411902,0.07028559854162447,0.9523809523809523,0.93,0.06946236559139785,0.5342924425000225
12,60000,65000,5000,7,1,0,473,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.22236057014606997,0.17294711011360997,0.2492270372408896,0.3580417580508132,0.1584694566156863,0.005846368210470882,0.2642572536904741,0.8417440452159871,0.41304347826086957,0.41304347826086957,0.0,0.5869565217391305,0.31770202420346977,0.21789550284656864,0.06762212353653613,1.0,0.933,0.10203644158628082,0.5167095967275005
13,65000,70000,5000,7,1,0,660,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.2324656308824637,0.18080660179747177,0.20921495632976297,0.33827648276626476,0.16157986205028793,0.04009844630144311,0.5536809647650085,0.77324401136825,0.6891891891891891,0.22972972972972974,0.4594594594594595,0.3108108108108108,0.4608274100358264,0.22217231031914592,0.12078765732846122,0.5405405405405406,0.8742,0.12468542667581789,0.47528622299651635
14,70000,75000,5000,7,1,0,577,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.22141399215651153,0.17221088278839788,0.2362858957736384,0.3092478750832021,0.16299950728557616,0.07275802286347756,0.39102373622716413,0.7569205900181855,0.6666666666666666,0.39215686274509803,0.27450980392156865,0.3333333333333333,0.4440403294115891,0.20374938410697022,0.13861386138613863,0.7254901960784313,0.86,0.1241860465116279,0.4706182964354215
15,75000,80000,5000,8,1,0,618,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.195788167877831,0.17403392700251644,0.25246060085376004,0.4176472231130269,0.15351430192725424,0.007010803257975727,0.24979773462783175,0.8222087378640777,0.2857142857142857,0.2857142857142857,0.0,0.7142857142857143,0.24075122679605834,0.18762859124442186,0.0891990291262136,1.0,0.9118,0.1048475542882211,0.5124715374317829
16,80000,85000,5000,7,1,0,536,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.2356988809024713,0.18332135181303325,0.29241171654766124,0.3824132328428836,0.1474060021857752,0.013615833229424725,0.35676266733282064,0.8412471978805788,0.12903225806451613,0.12903225806451613,0.0,0.8709677419354839,0.1823655694834937,0.2026832530054409,0.08355410637864276,1.0,0.918,0.09803921568627451,0.5161058315038956
17,85000,90000,5000,8,1,0,545,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.18757422770211063,0.16673264684632055,0.21533822125722435,0.397806406409423,0.14206509072283138,0.006564294069183897,0.3911523463762269,0.8392496974586526,0.21428571428571427,0.21428571428571427,0.0,0.7857142857142857,0.20092997099391247,0.17363511088346056,0.08854376764824526,1.0,0.9122,0.08572681429511073,0.5144027504663847
18,90000,95000,5000,9,1,1,513,True,Analysis|Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.1961385846523226,0.1961385846523226,0.24395981646466788,0.4595546917263173,0.178114775317373,0.0070259605255545135,0.27383145377484236,0.867165386170643,0.3148148148148148,0.3148148148148148,0.0,0.6851851851851852,0.2554766997335687,0.1959262528491103,0.0661140315406389,1.0,0.9346,0.07853627220201155,0.5361201454168051
19,95000,100000,5000,6,1,0,673,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.212931171931391,0.14195411462092733,0.19162597479483393,0.30445084817029106,0.1331175240064983,0.009088934037871496,0.25693009752571017,0.776019476567255,0.22535211267605634,0.22535211267605634,0.0,0.7746478873239436,0.21914164230372368,0.19016789143785467,0.1032663826333942,1.0,0.8982,0.1447339122689824,0.4823321732422333
20,100000,105000,5000,6,1,0,643,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.26121733607015357,0.17414489071343572,0.2577525337293847,0.3278357580739703,0.14648223585921702,0.004322280700317133,0.2466300253488427,0.7891663310511478,0.2647058823529412,0.2647058823529412,0.0,0.7352941176470589,0.2629616092115474,0.23018637063591244,0.09122029802658074,1.0,0.9094,0.1361337145370574,0.48854426267226814
21,105000,110000,5000,8,1,0,446,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.21567911414772056,0.19171476813130717,0.2953173034694774,0.26408105719644676,0.16895992792523853,0.014557605549000232,0.40115480627282535,0.8001221249745573,0.2988505747126437,0.2413793103448276,0.05747126436781609,0.7011494252873564,0.25726484443018216,0.20650657857529156,0.11398330958681051,0.9425287356321839,0.887,0.1089064261555806,0.4978238197358764
22,110000,115000,5000,8,1,0,390,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.12953329963015192,0.11514071078235727,0.17228850325379608,0.2734428750645801,0.09945634134496119,0.00841628508368013,0.2987841639871383,0.8141077170418006,0.375,0.3333333333333333,0.041666666666666664,0.625,0.25226664981507596,0.12155775053273035,0.11053054662379422,0.9583333333333334,0.8898,0.08766014834794336,0.5115741463198121
