evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.9882638607851072,0.16471064346418454,0.9768,,0.3294212869283691,,,0.9768,,0.9882638607851072,0.0,,1.0,0.0232,0.6291821819704834
1,5000,10000,5000,1,0,0,0,False,Benign,0.9908164295085276,0.1651360715847546,0.9818,,0.3302721431695092,,,0.9818,,0.9908164295085276,0.0,,1.0,0.0182,0.6357101659832961
2,10000,15000,5000,1,0,0,0,False,Benign,0.9929506545820745,0.1654917757636791,0.986,,0.3309835515273582,,,0.986,,0.9929506545820745,0.0,,1.0,0.014,0.6216533699952962
3,15000,20000,5000,1,0,0,0,False,Benign,0.9850806860854562,0.16418011434757604,0.9706,,0.3283602286951521,,,0.9706,,0.9850806860854562,0.0,,1.0,0.0294,0.6081678158587643
4,20000,25000,5000,6,0,8,204,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.29793073262873154,0.29793073262873154,0.36004567707698937,0.4278506361626698,0.29793073262873154,,,0.941,,0.29793073262873154,0.0,,1.0,0.059,0.5824940030702327
5,25000,30000,5000,6,0,12,437,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.28778242378235835,0.28778242378235835,0.3306229107942194,0.43444425387961344,0.28778242378235835,,,0.887,,0.28778242378235835,0.0,,1.0,0.113,0.5476112040519329
6,30000,35000,5000,6,0,20,528,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3044601274212924,0.3044601274212924,0.3663581377310437,0.4361430438606765,0.3044601274212924,,,0.8648,,0.3044601274212924,0.0,,1.0,0.1352,0.521015994491933
7,35000,40000,5000,6,0,18,458,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3164318281518202,0.3164318281518202,0.36441730476003875,0.49284531148293914,0.3164318281518202,,,0.905,,0.3164318281518202,0.0,,1.0,0.095,0.5540464384948439
8,40000,45000,5000,6,0,12,337,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3302073290134738,0.3302073290134738,0.3800037701857013,0.467768212652471,0.3302073290134738,,,0.9222,,0.3302073290134738,0.0,,1.0,0.0778,0.5666423022618631
9,45000,50000,5000,6,0,26,468,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.30124788034249445,0.30124788034249445,0.3725330680469788,0.41148525758468624,0.30124788034249445,,,0.8642,,0.30124788034249445,0.0,,1.0,0.1358,0.5238666727408525
10,50000,55000,5000,6,0,23,421,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.2694212176620961,0.2694212176620961,0.3174036328612337,0.4337581590558878,0.2694212176620961,,,0.8908,,0.2694212176620961,0.0,,1.0,0.1092,0.5431324071444382
11,55000,60000,5000,6,0,14,406,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3078136747082972,0.3078136747082972,0.3618832071747411,0.4993321337645873,0.3078136747082972,,,0.9184,,0.3078136747082972,0.0,,1.0,0.0816,0.5690384974730631
12,60000,65000,5000,6,0,28,510,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.2883662135723265,0.2883662135723265,0.3555171152055418,0.4183863263303928,0.2883662135723265,,,0.862,,0.2883662135723265,0.0,,1.0,0.138,0.5197290445115097
13,65000,70000,5000,6,0,21,421,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.30765774537423746,0.30765774537423746,0.35765439379741143,0.4602875407107773,0.30765774537423746,,,0.8966,,0.30765774537423746,0.0,,1.0,0.1034,0.5433414940860584
14,70000,75000,5000,6,0,15,438,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.32921272588803213,0.32921272588803213,0.3717504277311339,0.519302859598788,0.32921272588803213,,,0.9128,,0.32921272588803213,0.0,,1.0,0.0872,0.5668725863075187
15,75000,80000,5000,6,0,9,455,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.2966877714002324,0.2966877714002324,0.3546517083659837,0.4508464192705216,0.2966877714002324,,,0.8858,,0.2966877714002324,0.0,,1.0,0.1142,0.5371593100727341
16,80000,85000,5000,6,0,16,410,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.2886914132811074,0.2886914132811074,0.3530685393597673,0.38376843379650255,0.2886914132811074,,,0.8748,,0.2886914132811074,0.0,,1.0,0.1252,0.5256517415185199
17,85000,90000,5000,6,0,24,393,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3009878919729478,0.3009878919729478,0.3492269946996757,0.4447714565340252,0.3009878919729478,,,0.8938,,0.3009878919729478,0.0,,1.0,0.1062,0.5535318888602783
18,90000,95000,5000,6,0,27,400,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.32386466960256133,0.32386466960256133,0.3584086751164595,0.4735672860685798,0.32386466960256133,,,0.9112,,0.32386466960256133,0.0,,1.0,0.0888,0.5530880631726985
19,95000,100000,5000,6,0,20,505,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3111917023796598,0.3111917023796598,0.3637156112540982,0.4346188013294091,0.3111917023796598,,,0.8736,,0.3111917023796598,0.0,,1.0,0.1264,0.5222560504528914
20,100000,105000,5000,6,0,18,331,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.2886415778450886,0.2886415778450886,0.3244292335729763,0.4661794615024449,0.2886415778450886,,,0.9178,,0.2886415778450886,0.0,,1.0,0.0822,0.5462725280331236
21,105000,110000,5000,6,0,15,375,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3642271123032741,0.3642271123032741,0.4090385895006769,0.5039151757972467,0.3642271123032741,,,0.919,,0.3642271123032741,0.0,,1.0,0.081,0.5682778967642839
22,110000,115000,5000,6,0,13,527,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.27663129365157796,0.27663129365157796,0.3029057992834907,0.42649193559827125,0.27663129365157796,,,0.872,,0.27663129365157796,0.0,,1.0,0.128,0.5298795653977821
23,115000,120000,5000,6,0,15,364,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3351234481637693,0.3351234481637693,0.41659644657363915,0.4716154833298092,0.3351234481637693,,,0.902,,0.3351234481637693,0.0,,1.0,0.098,0.5519574402346467
