evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,2,0,0,420,True,Backdoor|Benign,0.7549405726381253,0.16776457169736117,0.6585620711166562,0.5348025599224845,0.18873514315953133,,,0.9034,,,,,0.7549405726381253,0.7549405726381253,0.0594,,0.9406,0.03954922389963853,0.5631510225145558
1,5000,10000,5000,2,0,0,621,True,Backdoor|Benign,0.6417464206123882,0.14261031569164181,0.5701895189270707,0.4971600665263713,0.16043660515309704,,,0.8644,,,,,0.6417464206123882,0.6417464206123882,0.0522,,0.9478,0.08799324752057396,0.529683220446895
2,10000,15000,5000,2,0,0,676,True,Backdoor|Benign,0.5423645502572046,0.12052545561271215,0.507408081493686,0.4422869935466226,0.13559113756430116,,,0.8366,,,,,0.5423645502572046,0.5423645502572046,0.0486,,0.9514,0.12066428421273911,0.5109132001904901
3,15000,20000,5000,3,0,0,559,True,Backdoor|Benign|Exploits,0.3306612426473037,0.11022041421576789,0.3186357763613998,0.3910089031488921,0.11022041421576789,,,0.8406,,,,,0.3306612426473037,0.3306612426473037,0.039,,0.961,0.12528616024973985,0.5050095450701393
4,20000,25000,5000,8,1,0,319,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.15826121379475733,0.14067663448422874,0.21736419695148881,0.3335865512674159,0.1174549220027147,0.08016007849272966,0.6006544719183748,0.9003033367037412,0.23636363636363636,0.05454545454545454,0.18181818181818182,0.7636363636363637,0.19731242507919683,0.14355601578109575,0.06572295247724974,0.8181818181818182,0.933,0.04501607717041801,0.5675915581712716
5,25000,30000,5000,6,1,0,236,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.17496640565088614,0.11664427043392409,0.22451721242653233,0.2964587632502449,0.13342818751066646,0.006134790944074675,0.28738744273402256,0.9111828825191765,0.30434782608695654,0.30434782608695654,0.0,0.6956521739130435,0.23965711586892136,0.20967286608819016,0.05147355672184094,1.0,0.949,0.045732349841938885,0.5790080733843502
6,30000,35000,5000,8,1,0,296,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.1903071144983608,0.16916187955409848,0.22409119897959184,0.3671129419628719,0.15328370824876744,0.01404362938903583,0.39117655617961183,0.9242208189040538,0.18681318681318682,0.18681318681318682,0.0,0.8131868131868132,0.1885601506557738,0.18734675452627128,0.0401303727846812,1.0,0.9606,0.051842598376014994,0.5740955850632564
7,35000,40000,5000,6,1,0,285,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.2615374424934364,0.17435829499562427,0.32498327226042284,0.3275615165047433,0.18042404189881056,0.08674143869614523,0.6018331729345573,0.9173452768729642,0.6477272727272727,0.20454545454545456,0.4431818181818182,0.3522727272727273,0.4546323576103546,0.25774863128401504,0.05639250814332247,0.5568181818181818,0.9368,0.034158838599487616,0.5747713278933042
8,40000,45000,5000,7,1,0,316,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.2728465469198086,0.21221398093762892,0.2915281811397546,0.43421290574657556,0.22193707036735572,0.006114212788614539,0.225559595959596,0.9094949494949495,0.5,0.48,0.02,0.5,0.3864232734599043,0.30516347175511416,0.05393939393939394,0.98,0.9464,0.04353338968723584,0.5795005084836723
9,45000,50000,5000,6,1,0,413,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.16980478014960773,0.11320318676640514,0.19670627134655913,0.24587747154323586,0.10607400262572676,0.4295017432282605,0.8714605844975355,0.8983371921700695,0.9477911646586346,0.08433734939759036,0.8634538152610441,0.05220883534136546,0.5587979724041211,0.16668771841185634,0.0641970111555462,0.13654618473895583,0.896,0.04263392857142857,0.5376710363156145
10,50000,55000,5000,8,1,0,276,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.1217393657322221,0.10821276953975298,0.11904635901778154,0.3253712219235414,0.1365651647863845,0.004524882153527588,0.27786003648338115,0.9059605316149819,0.4117647058823529,0.4117647058823529,0.0,0.5882352941176471,0.2667520358072875,0.16691297918335884,0.049335481272654046,1.0,0.951,0.0508937960042061,0.560819977988257
11,55000,60000,5000,7,1,0,360,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.23762978584262423,0.18482316676648552,0.25896019171881235,0.37397643272838266,0.18762055687713386,0.011620074797731306,0.4522218042574534,0.8827223009925056,0.2698412698412698,0.2222222222222222,0.047619047619047616,0.7301587301587301,0.25373552784194703,0.23452569609641735,0.0684626291270002,0.9523809523809523,0.9318,0.06160120197467268,0.5357534610081998
12,60000,65000,5000,7,1,0,473,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.20598750900698376,0.16021250700543177,0.22421714543179302,0.35504510942104844,0.1490091849595688,0.0061239907498944314,0.2929165715890541,0.844368187323375,0.41304347826086957,0.41304347826086957,0.0,0.5869565217391305,0.30951549363392666,0.2048876293194071,0.06701655228098506,1.0,0.9336,0.09982862039417309,0.5121928940988646
13,65000,70000,5000,7,1,0,660,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.22186391804337605,0.17256082514484802,0.19617074081109348,0.3413505442810031,0.1549520257524274,0.04018541671693139,0.5662260921091614,0.7797401542833943,0.6891891891891891,0.22972972972972974,0.4594594594594595,0.3108108108108108,0.4555265536162826,0.21305903540958768,0.12017864393016646,0.5405405405405406,0.8748,0.11796982167352538,0.47578200193898923
14,70000,75000,5000,7,1,0,577,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.23223427535389504,0.18062665860858504,0.25063420801284564,0.319860609225,0.17038924002195177,0.07340435601412115,0.41200242473226917,0.763588603758335,0.6666666666666666,0.39215686274509803,0.27450980392156865,0.3333333333333333,0.44945047101028085,0.2129865500274397,0.13841180036370984,0.7254901960784313,0.8602,0.1167170425482446,0.4714217739445759
15,75000,80000,5000,8,1,0,618,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.20130919752915305,0.1789415089148027,0.2600702741160362,0.42757662260094226,0.15723949745116791,0.007341280740003429,0.28385055478502075,0.8268608414239482,0.2857142857142857,0.2857142857142857,0.0,0.7142857142857143,0.24351174162171937,0.1921816079958719,0.0889967637540453,1.0,0.912,0.1,0.5104867159803655
16,80000,85000,5000,7,1,0,536,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.24202014878461192,0.1882378934991426,0.29891516573544225,0.3866626408767639,0.14960406726144024,0.01467262269960385,0.39848712942449993,0.8434888934175667,0.12903225806451613,0.12903225806451613,0.0,0.8709677419354839,0.18552620342456402,0.20570559248448034,0.08294273486855512,1.0,0.9186,0.09623339865011975,0.5102648443800797
17,85000,90000,5000,8,1,0,545,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.19815215073528383,0.17613524509803008,0.21951118138812842,0.40258401608253513,0.14891836659459698,0.006943157500188769,0.4166906778847077,0.8412666397741024,0.21428571428571427,0.21428571428571427,0.0,0.7857142857142857,0.20621893251049905,0.18201133694895189,0.08773699072206535,1.0,0.913,0.08433734939759036,0.5064578218764896
18,90000,95000,5000,9,1,1,513,True,Analysis|Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.20022173742480745,0.20022173742480745,0.24829724896312927,0.4681285087093638,0.1812140639602805,0.007342100050762561,0.3037134384687963,0.8706025070764254,0.3148148148148148,0.3148148148148148,0.0,0.6851851851851852,0.25751827611981115,0.19933547035630855,0.06490093004448039,1.0,0.9358,0.07608463346868989,0.5323467987167522
19,95000,100000,5000,6,1,0,673,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.21333850553757447,0.14222567035838296,0.19235287138732635,0.284437883274605,0.1331958779644558,0.009602487162022097,0.2973834077706246,0.779468452018665,0.22535211267605634,0.22535211267605634,0.0,0.7746478873239436,0.2193453091068154,0.1902798256635083,0.10265773990667479,1.0,0.8988,0.14152202937249667,0.4781310903184574
20,100000,105000,5000,6,1,0,643,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.26760661825992305,0.178404412173282,0.2730384127086465,0.3122727400251883,0.14991528677667085,0.00453862717910674,0.28464144417331977,0.7950060410793395,0.2647058823529412,0.2647058823529412,0.0,0.7352941176470589,0.2661562503064321,0.23558116493476847,0.09021345146999597,1.0,0.9104,0.13071177504393672,0.4882716416369475
21,105000,110000,5000,8,1,0,446,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.21780367323845584,0.19360326510084963,0.29583882301273606,0.2661078244869718,0.17013228643663425,0.015058917405292195,0.419279369067756,0.8039894158355384,0.2988505747126437,0.2413793103448276,0.05747126436781609,0.7011494252873564,0.2583271239755498,0.20793946120033077,0.1129656014654997,0.9425287356321839,0.888,0.10563063063063063,0.4959616375590157
22,110000,115000,5000,8,1,0,390,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.13027808388900303,0.11580274123466935,0.17245119305856832,0.27242810085981944,0.09986985365876735,0.008641232486766499,0.34202505359056806,0.8153135048231511,0.375,0.3333333333333333,0.041666666666666664,0.625,0.2526390419445015,0.12206315447182677,0.11032958199356913,0.9583333333333334,0.89,0.08651685393258426,0.5049942150089531
