window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,queried_label_counts,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
156,78000,78500,500,0.0,0.22632951957201122,0.22632951957201122,0.26565769805680123,0.41143634107120586,0.22632951957201122,,,0.854,,0.22632951957201122,0.0,,1.0,0.146,0.5138578543169114,False,latched,0.25276561746277276,0.0,0,{},0,False,0.3300804536920476,0.0
157,78500,79000,500,0.0,0.3067815828518354,0.3067815828518354,0.3446433156733586,0.4704270934086317,0.3067815828518354,,,0.908,,0.3067815828518354,0.0,,1.0,0.092,0.5621697421364292,False,latched,0.15212592380682996,0.0,0,{},0,False,0.3300804536920476,0.0
158,79000,79500,500,0.0,0.27210701484895033,0.27210701484895033,0.3590933300557195,0.40766333592350684,0.27210701484895033,,,0.85,,0.27210701484895033,0.0,,1.0,0.15,0.5093738611526935,False,latched,0.3211409215624785,0.0,0,{},0,False,0.3300804536920476,0.0
159,79500,80000,500,0.0,0.3868953228721261,0.3224127690601051,0.4656055711854399,0.4799669327202598,0.3224127690601051,,,0.89,,0.3868953228721261,0.0,,1.0,0.11,0.5242345885245673,False,latched,0.19740750316678607,0.0,0,{},0,False,0.3300804536920476,0.0
160,80000,80500,500,0.0,0.24912454383969915,0.24912454383969915,0.24798910454870207,0.315152411655239,0.24912454383969915,,,0.864,,0.24912454383969915,0.0,,1.0,0.136,0.5034427389894326,False,latched,0.16311046147283872,0.0,0,{},0,False,0.3300804536920476,0.0
161,80500,81000,500,0.0,0.49896238837415313,0.41580199031179427,0.5488229755178907,0.4511590477765199,0.41580199031179427,,,0.91,,0.49896238837415313,0.0,,1.0,0.09,0.5435795996831341,False,latched,0.19942066432060238,0.0,0,{},0,False,0.3300804536920476,0.0
162,81000,81500,500,0.0,0.3206830942667895,0.3206830942667895,0.4515772804109737,0.39134140308441157,0.3206830942667895,,,0.874,,0.3206830942667895,0.0,,1.0,0.126,0.510459967912917,False,latched,0.21911850593608917,0.0,0,{},0,False,0.3300804536920476,0.0
163,81500,82000,500,0.0,0.23790627362055936,0.23790627362055936,0.2280608634111819,0.24803031585204635,0.23790627362055936,,,0.822,,0.23790627362055936,0.0,,1.0,0.178,0.4875795817108674,False,latched,0.18877431662117156,0.0,0,{},0,False,0.3300804536920476,0.0
164,82000,82500,500,0.0,0.23538424788424786,0.23538424788424786,0.343983131973328,0.3399128026236927,0.23538424788424786,,,0.858,,0.23538424788424786,0.0,,1.0,0.142,0.5022178254814282,False,latched,0.19118143514253477,0.0,0,{},0,False,0.3300804536920476,0.0
165,82500,83000,500,0.0,0.3875763125763126,0.32298026048026046,0.4119407547965423,0.38016472335618906,0.32298026048026046,,,0.874,,0.3875763125763126,0.0,,1.0,0.126,0.5363937474022027,False,latched,0.165461644370587,0.0,0,{},0,False,0.3300804536920476,0.0
166,83000,83500,500,0.0,0.3118168314608629,0.3118168314608629,0.34400701289652574,0.5177944980754421,0.3118168314608629,,,0.848,,0.3118168314608629,0.0,,1.0,0.152,0.5054732351108029,False,latched,0.29527583314046274,0.0,0,{},0,False,0.3300804536920476,0.0
167,83500,84000,500,0.0,0.367977870645752,0.367977870645752,0.4368820074813595,0.463927695295409,0.367977870645752,,,0.9,,0.367977870645752,0.0,,1.0,0.1,0.5744764722932418,False,latched,0.15860500574507438,0.0,0,{},0,False,0.3300804536920476,0.0
168,84000,84500,500,0.0,0.48605268828179043,0.405043906901492,0.5858033142557888,0.5050328533454604,0.405043906901492,,,0.91,,0.48605268828179043,0.0,,1.0,0.09,0.5872868526688961,False,latched,0.21855840446266792,0.0,0,{},0,False,0.3300804536920476,0.0
169,84500,85000,500,0.0,0.3532222778426683,0.3532222778426683,0.3762342374494409,0.4972595550800466,0.3532222778426683,,,0.924,,0.3532222778426683,0.0,,1.0,0.076,0.5756630498175188,False,latched,0.16576301671779614,0.0,0,{},0,False,0.3300804536920476,0.0
170,85000,85500,500,0.0,0.22574941442908777,0.22574941442908777,0.4063390313390314,0.33437988906872734,0.22574941442908777,,,0.886,,0.22574941442908777,0.0,,1.0,0.114,0.5419414810614996,False,latched,0.1606983488260339,0.0,0,{},0,False,0.3300804536920476,0.0
171,85500,86000,500,0.0,0.3882636405670219,0.3235530338058516,0.47276440554339894,0.3719399265068517,0.3235530338058516,,,0.846,,0.3882636405670219,0.0,,1.0,0.154,0.5247394255269296,False,latched,0.2543645452964838,0.0,0,{},0,False,0.3300804536920476,0.0
172,86000,86500,500,0.0,0.24281767955801103,0.24281767955801103,0.28019713261648743,0.33661967269701637,0.24281767955801103,,,0.878,,0.24281767955801103,0.0,,1.0,0.122,0.5300856354154528,False,latched,0.18011340162156705,0.0,0,{},0,False,0.3300804536920476,0.0
173,86500,87000,500,0.0,0.2671953578336557,0.2226627981947131,0.24835624626419603,0.3052691844535873,0.2226627981947131,,,0.918,,0.2671953578336557,0.0,,1.0,0.082,0.580770119594849,False,latched,0.12504796017757563,0.0,0,{},0,False,0.3300804536920476,0.0
174,87000,87500,500,0.0,0.4513007979674647,0.3760839983062206,0.4849448123620309,0.5210766282593561,0.3760839983062206,,,0.9,,0.4513007979674647,0.0,,1.0,0.1,0.5579474350225309,False,latched,0.1620292538882341,0.0,0,{},0,False,0.3300804536920476,0.0
175,87500,88000,500,0.0,0.3388637506284565,0.3388637506284565,0.5660856935366739,0.4361410628790661,0.3388637506284565,,,0.886,,0.3388637506284565,0.0,,1.0,0.114,0.5453553097035179,False,latched,0.15361417923099382,0.0,0,{},0,False,0.3300804536920476,0.0
176,88000,88500,500,0.0,0.5680713850194644,0.4733928208495537,0.6261299435028248,0.5345717343973238,0.4733928208495537,,,0.932,,0.5680713850194644,0.0,,1.0,0.068,0.6037715610764316,False,latched,0.13894420205888652,0.0,0,{},0,False,0.3300804536920476,0.0
