window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,queried_label_counts,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
191,95500,96000,500,0.464,0.8993839835728953,0.2997946611909651,0.8171641791044776,,0.12183588317107093,0.5140178653821675,0.6429651312403499,0.8171641791044776,0.0,0.0,0.0,1.0,0.44969199178644764,0.3045897079276773,0.011194029850746268,1.0,0.994,0.5593561368209256,0.1367081027521264,False,latched,0.6168692002846486,0.006,0,{},50,False,0.5303209661413969,0.0
192,96000,96500,500,0.518,0.8496420047732697,0.2832140015910899,0.7385892116182573,,0.10501474926253687,0.5635490481539372,0.6555856389881286,0.7385892116182573,0.0,0.0,0.0,1.0,0.42482100238663484,0.26253687315634217,0.004149377593360996,1.0,0.998,0.6432865731462926,0.09543795031181264,False,latched,0.7682407930696434,0.002,0,{},50,False,0.5303209661413969,0.0
193,96500,97000,500,0.494,0.8705357142857143,0.29017857142857145,0.7707509881422925,,0.11223021582733812,0.5680528041282853,0.7058456417724153,0.7707509881422925,0.0,0.0,0.0,1.0,0.43526785714285715,0.2805755395683453,0.023715415019762844,1.0,0.988,0.6052631578947368,0.21772426362070885,False,latched,0.7573733401010909,0.012,0,{},50,False,0.5303209661413969,0.0
194,97000,97500,500,0.494,0.8394495412844036,0.2798165137614679,0.7233201581027668,,0.10717423133235723,0.5528857662001077,0.6874909987038134,0.7233201581027668,0.0,0.0,0.0,1.0,0.4197247706422018,0.2679355783308931,0.019762845849802372,1.0,0.99,0.6303030303030303,0.18108392885881403,False,latched,0.67787180104407,0.01,0,{},50,False,0.5303209661413969,0.0
195,97500,98000,500,0.332,0.899505766062603,0.299835255354201,0.8173652694610778,,0.17658473479948253,0.39318728297854416,0.6761236563018542,0.8173652694610778,0.0,0.0,0.0,1.0,0.4497528830313015,0.35316946959896506,0.0,1.0,1.0,0.454,0.2397270624351054,False,latched,0.4370380452225967,0.0,0,{},50,False,0.5303209661413969,0.0
196,98000,98500,500,0.45,0.8888888888888888,0.2962962962962963,0.8,,0.12222222222222223,0.4846945426784611,0.6488727272727273,0.8,0.0,0.0,0.0,1.0,0.4444444444444444,0.3055555555555556,0.014545454545454545,1.0,0.992,0.5564516129032258,0.13997701996266998,False,latched,0.5263030335365935,0.008,0,{},50,False,0.5303209661413969,0.0
197,98500,99000,500,0.674,0.8835616438356164,0.2945205479452055,0.7914110429447853,,0.0820349761526232,0.6787669146907158,0.6407675083286305,0.7914110429447853,0.0,0.0,0.0,1.0,0.4417808219178082,0.20508744038155802,0.03067484662576687,1.0,0.99,0.7393939393939394,0.11654883940619701,False,latched,0.8178259982153573,0.01,0,{},50,False,0.5303209661413969,0.0
198,99000,99500,500,0.62,0.8588588588588588,0.2862862862862863,0.7526315789473684,,0.08895800933125972,0.6103868370798504,0.6014940577249576,0.7526315789473684,0.0,0.0,0.0,1.0,0.4294294294294294,0.2223950233281493,0.04736842105263158,1.0,0.982,0.7087576374745418,0.11158154081391466,False,latched,0.8065122303136278,0.018,0,{},50,False,0.5303209661413969,0.0
199,99500,100000,500,0.766,0.8181818181818182,0.27272727272727276,0.6923076923076923,,0.05576592082616179,0.7037480871773589,0.49882841266653277,0.6923076923076923,0.0,0.0,0.0,1.0,0.4090909090909091,0.13941480206540446,0.02564102564102564,1.0,0.994,0.8370221327967807,0.19465533271578156,False,latched,0.8650022431441654,0.006,0,{},50,False,0.5303209661413969,0.0
200,100000,100500,500,0.722,0.7860262008733624,0.26200873362445415,0.6474820143884892,,0.061016949152542375,0.7136350196169472,0.6078040614599733,0.6474820143884892,0.0,0.0,0.0,1.0,0.3930131004366812,0.15254237288135594,0.02877697841726619,1.0,0.992,0.8185483870967742,0.18762056318933318,False,latched,0.8458211274996982,0.008,0,{},50,False,0.5303209661413969,0.0
201,100500,101000,500,0.686,0.8705035971223022,0.2901678657074341,0.7707006369426752,,0.07793880837359099,0.707221580921062,0.6128391301925684,0.7707006369426752,0.0,0.0,0.0,1.0,0.4352517985611511,0.19484702093397746,0.025477707006369428,1.0,0.992,0.7560483870967742,0.10072477669688376,False,latched,0.9045001269255323,0.008,0,{},50,False,0.5303209661413969,0.0
202,101000,101500,500,0.646,0.8469055374592834,0.28230184581976114,0.7344632768361582,,0.08253968253968254,0.678130137508428,0.6249147294957234,0.7344632768361582,0.0,0.0,0.0,1.0,0.4234527687296417,0.20634920634920634,0.01694915254237288,1.0,0.994,0.738430583501006,0.09608602329061919,False,latched,0.8203844727734734,0.006,0,{},50,False,0.5303209661413969,0.0
203,101500,102000,500,0.736,0.8421052631578947,0.2807017543859649,0.7272727272727273,,0.06442953020134227,0.7350985038024385,0.6099514163372859,0.7272727272727273,0.0,0.0,0.0,1.0,0.42105263157894735,0.1610738255033557,0.015151515151515152,1.0,0.996,0.8072289156626506,0.13764319599322083,False,latched,0.973540503134285,0.004,0,{},50,False,0.5303209661413969,0.0
204,102000,102500,500,0.596,0.8746518105849582,0.2915506035283194,0.7772277227722773,,0.09558599695585997,0.6731889208395941,0.7133364343145725,0.7772277227722773,0.0,0.0,0.0,1.0,0.4373259052924791,0.2389649923896499,0.019801980198019802,1.0,0.992,0.6834677419354839,0.16697999665642954,False,latched,0.9333564039722747,0.008,0,{},50,False,0.5303209661413969,0.0
205,102500,103000,500,0.588,0.8712328767123287,0.29041095890410956,0.7718446601941747,,0.09650986342943854,0.604115252473364,0.6250743015652863,0.7718446601941747,0.0,0.0,0.0,1.0,0.43561643835616437,0.24127465857359637,0.014563106796116505,1.0,0.994,0.6800804828973843,0.09591784223619107,False,latched,0.8352711439197692,0.006,0,{},50,False,0.5303209661413969,0.0
