window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
96,48000,48500,500,0.0,0.36222131672884855,0.30185109727404047,0.5441164076249969,0.42288352766138143,0.30185109727404047,,,0.846,,0.36222131672884855,0.0,,1.0,0.154,0.4972710094332454,False,latched,0.23788701250975047,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
97,48500,49000,500,0.0,0.24301945793615637,0.20251621494679697,0.4804772234273319,0.3380395922829063,0.20251621494679697,,,0.842,,0.24301945793615637,0.0,,1.0,0.158,0.5121877590700292,False,latched,0.21680607760338838,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
98,49000,49500,500,0.0,0.384258296277807,0.384258296277807,0.4942002442002443,0.4482221000834706,0.384258296277807,,,0.9,,0.384258296277807,0.0,,1.0,0.1,0.5552752602835608,False,latched,0.14870239833832713,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
99,49500,50000,500,0.0,0.35207297922275144,0.35207297922275144,0.3548235802033047,0.5277777120770631,0.35207297922275144,,,0.892,,0.35207297922275144,0.0,,1.0,0.108,0.5428791786285698,False,latched,0.18217213059390008,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
100,50000,50500,500,0.0,0.3061567331015075,0.3061567331015075,0.337373084431908,0.4944137332262647,0.3061567331015075,,,0.854,,0.3061567331015075,0.0,,1.0,0.146,0.5181439247712444,False,latched,0.25322349388218307,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
101,50500,51000,500,0.0,0.38390169992609013,0.3199180832717418,0.4396248665771442,0.48139396590782696,0.3199180832717418,,,0.902,,0.38390169992609013,0.0,,1.0,0.098,0.5514691087559965,False,latched,0.18875517781910936,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
102,51000,51500,500,0.0,0.3486335403726708,0.290527950310559,0.3986375488917862,0.4882495937720764,0.290527950310559,,,0.918,,0.3486335403726708,0.0,,1.0,0.082,0.5708268219578209,False,latched,0.10616832432731199,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
103,51500,52000,500,0.0,0.265585807741848,0.265585807741848,0.3119813867576016,0.3601788618773354,0.265585807741848,,,0.87,,0.265585807741848,0.0,,1.0,0.13,0.5363845422083143,False,latched,0.1810425077941429,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
104,52000,52500,500,0.0,0.28069496540448186,0.28069496540448186,0.3639328063241107,0.36844051052408644,0.28069496540448186,,,0.86,,0.28069496540448186,0.0,,1.0,0.14,0.5116631636481102,False,latched,0.19211923311961146,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
105,52500,53000,500,0.0,0.26101161134845,0.26101161134845,0.40582067968185104,0.37295694554478664,0.26101161134845,,,0.872,,0.26101161134845,0.0,,1.0,0.128,0.5303922991429675,False,latched,0.15545842390460765,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
106,53000,53500,500,0.0,0.22593561703119275,0.1882796808593273,0.3100883310088331,0.29633596545280366,0.22593561703119275,,,0.902,,0.22593561703119275,0.0,,1.0,0.098,0.5663494508236813,False,latched,0.12050418021863588,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
107,53500,54000,500,0.0,0.27412157044268637,0.27412157044268637,0.4065656565656566,0.4310433551564519,0.27412157044268637,,,0.906,,0.27412157044268637,0.0,,1.0,0.094,0.5626161149596834,False,latched,0.1353390002450972,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
108,54000,54500,500,0.0,0.34785069003959557,0.2898755750329963,0.44323725055432367,0.5156925539582701,0.2898755750329963,,,0.904,,0.34785069003959557,0.0,,1.0,0.096,0.5624691308521584,False,latched,0.16136073579340904,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
109,54500,55000,500,0.0,0.3268642851427314,0.3268642851427314,0.3635989188391358,0.5215159586640377,0.3268642851427314,,,0.888,,0.3268642851427314,0.0,,1.0,0.112,0.5285641478577752,False,latched,0.19121832559815358,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
110,55000,55500,500,0.0,0.30806534508076355,0.30806534508076355,0.38493302831377224,0.5580119327819778,0.30806534508076355,,,0.922,,0.30806534508076355,0.0,,1.0,0.078,0.5704626400896248,False,latched,0.15450917263780964,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
111,55500,56000,500,0.0,0.27983005033953473,0.27983005033953473,0.29765661524076675,0.506162955095775,0.27983005033953473,,,0.872,,0.27983005033953473,0.0,,1.0,0.128,0.533484260143747,False,latched,0.22371805643618184,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
112,56000,56500,500,0.0,0.28346658679139497,0.28346658679139497,0.2827833634098135,0.5219021704316882,0.28346658679139497,,,0.868,,0.28346658679139497,0.0,,1.0,0.132,0.5098946414117774,False,latched,0.2397780408302863,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
113,56500,57000,500,0.0,0.508901029843785,0.4240841915364875,0.633858858858859,0.6202938134105185,0.4240841915364875,,,0.916,,0.508901029843785,0.0,,1.0,0.084,0.553352930866914,False,latched,0.1844474416045148,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
114,57000,57500,500,0.0,0.3524281682799033,0.3524281682799033,0.4274109014675052,0.4755622733444117,0.3524281682799033,,,0.95,,0.3524281682799033,0.0,,1.0,0.05,0.6077586716016548,False,latched,0.12778028530666632,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
115,57500,58000,500,0.0,0.2656549707602339,0.22137914230019495,0.2774391227221416,0.34357123031788084,0.22137914230019495,,,0.936,,0.2656549707602339,0.0,,1.0,0.064,0.5985379440627244,False,latched,0.11001186757927076,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
116,58000,58500,500,0.0,0.5125270855904659,0.25626354279523295,0.6313018704323052,0.45071956235241983,0.25626354279523295,,,0.918,,0.5125270855904659,0.0,,1.0,0.082,0.5740496108517252,False,latched,0.1260132973520549,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
