strategy,update_rule,budget,method,Benign_queried,DoS_queried,queried_novel_percent,global_known_macro_f1,global_novel_exact_recall,global_novel_rejection_rate,global_novel_harmful_acceptance_rate,global_acquisition_macro_f1,evaluation_mean_acquisition_macro_f1,primary_normalized_recovery_area,safety_normalized_recovery_area,recovery_time_evaluation_blocks,mean_source_forgetting,delta_recovery_area_vs_static,delta_global_acquisition_vs_static
none,static,0,cse_dos_prototype_static_open_guard_safe,0,0,,0.8906489736678416,0.0,0.03951759708737864,0.9604824029126213,0.3944205130357677,0.6058609734335688,0.36737577678680616,0.5435309417159496,,0.0,0.0,0.0
random_nested,naive_replay,50,cse_dos_random_naive_replay_B050,1,49,98.0,0.8507462686567164,0.8435603762135923,0.0390625,0.11737712378640777,0.8123807316044558,0.8178797508028138,0.8779079835767213,0.91265026974916,1.0,0.014410385251247911,0.5105322067899152,0.4179602185686881
random_nested,source_anchored,50,cse_dos_random_source_anchored_B050,1,49,98.0,0.850513470545267,0.8435603762135923,0.0390625,0.11737712378640777,0.8120554382180072,0.8176463217077613,0.8777457098544611,0.9125696761103282,1.0,0.014900188233900952,0.510369933067655,0.4176349251822395
uncertainty_diversity,naive_replay,50,cse_dos_ud_naive_replay_B050,27,23,46.0,0.8498427672955975,0.018810679611650484,0.029202063106796117,0.9519872572815534,0.38936370286739835,0.585057404638904,0.3591541568139631,0.5187104566159509,,0.017099342555459012,-0.008221619972843042,-0.005056810168369341
uncertainty_diversity,source_anchored,50,cse_dos_ud_source_anchored_B050,27,23,46.0,0.8488458583064392,0.018810679611650484,0.029202063106796117,0.9519872572815534,0.38908557634669705,0.5845304872789597,0.35901421571915737,0.5180123123862329,,0.019880573835778112,-0.008361561067648793,-0.005334936689070646
random_nested,naive_replay,200,cse_dos_random_naive_replay_B200,12,188,94.0,0.8430924344828439,0.8439396237864077,0.03868325242718446,0.11737712378640777,0.801256450585084,0.8105382496979443,0.87273625456529,0.9097985441507913,1.0,0.018742941429515166,0.5053604777784839,0.4068359375493163
random_nested,source_anchored,200,cse_dos_random_source_anchored_B200,12,188,94.0,0.8425632911392406,0.8439396237864077,0.03868325242718446,0.11737712378640777,0.800724347428732,0.8100851176022629,0.872471166762622,0.9096609469191405,1.0,0.019412113954290232,0.5050953899758159,0.4063038343929643
uncertainty_diversity,naive_replay,200,cse_dos_ud_naive_replay_B200,28,172,86.0,0.8444559630253553,0.8437879247572816,0.038834951456310676,0.11737712378640777,0.8022406075195241,0.8115528064428418,0.8733831247648339,0.9103043508291027,1.0,0.01654729360908563,0.5060073479780278,0.4078200944837564
uncertainty_diversity,source_anchored,200,cse_dos_ud_source_anchored_B200,28,172,86.0,0.8422842234765352,0.8437879247572816,0.03875910194174757,0.11745297330097088,0.7993245576501484,0.8095767827954911,0.8718088433680595,0.9094559725366,1.0,0.020004110977966522,0.5044330665812533,0.40490404461438073
