strategy,update_rule,budget,Benign_queried,DDoS_queried,global_known_macro_f1,global_novel_exact_recall,global_novel_rejection_rate,global_novel_harmful_acceptance_rate,global_acquisition_macro_f1,evaluation_mean_acquisition_macro_f1,primary_normalized_recovery_area,safety_normalized_recovery_area,recovery_time_evaluation_blocks,mean_source_forgetting,delta_recovery_area_vs_static,delta_global_acquisition_vs_static,queried_novel_percent
none,static,0,0,0,0.8367066825091163,0.0,0.0001423712726409871,0.9998576287273591,0.2539450613676213,0.3126453385297176,0.24748289948469498,0.4963752829157989,,0.0,0.0,0.0,
uncertainty_diversity,naive_replay,50,50,0,0.844941214759367,0.0,0.0001423712726409871,0.9998576287273591,0.2571596607441342,0.316254794225491,0.25264903984009557,0.5041413937014286,,0.0,0.005166140355400584,0.0032145993765129166,0.0
uncertainty_diversity,naive_replay,200,193,7,0.779814345266234,0.9352052519180575,0.0001423712726409871,0.0646523768093016,0.8319886745382892,0.8128254370520335,0.9559479164710393,0.9754470632514887,4.0,0.012946169141254482,0.7084650169863442,0.5780436131706679,3.5
uncertainty_diversity,source_anchored,50,50,0,0.8421385314927716,0.0,0.0001423712726409871,0.9998576287273591,0.25606353693921585,0.3150238759446193,0.25088725159804615,0.5015137509183093,,0.0,0.003404352113351161,0.002118475571594558,0.0
uncertainty_diversity,source_anchored,200,193,7,0.777147287155578,0.9352052519180575,0.0001423712726409871,0.0646523768093016,0.8304637788107325,0.8108859802419035,0.9545339327320773,0.9751265688613426,4.0,0.014405568703158159,0.7070510332473823,0.5765187174431112,3.5
random_nested,naive_replay,50,27,23,0.7743627376918262,0.9352052519180575,0.0001423712726409871,0.0646523768093016,0.8287822051475147,0.808802105544653,0.9530674990767138,0.9748073907593678,4.0,0.016443062165338036,0.7055845995920189,0.5748371437798934,46.0
random_nested,naive_replay,200,96,104,0.7794078134236122,0.9352052519180575,0.0001423712726409871,0.0646523768093016,0.8316500988983024,0.8124802549364709,0.9559224360624249,0.975534958632657,4.0,0.011726991489980017,0.7084395365777298,0.5777050375306811,52.0
random_nested,source_anchored,50,27,23,0.7764094939504617,0.9352052519180575,0.0001423712726409871,0.0646523768093016,0.8299198779381995,0.8102439932468556,0.954051023019202,0.9749911538091849,4.0,0.014621893002924465,0.7065681235345069,0.5759748165705783,46.0
random_nested,source_anchored,200,96,104,0.7774763719348102,0.9352052519180575,0.0001423712726409871,0.0646523768093016,0.8305581248827496,0.8110460230223605,0.9547048559075776,0.9752329974902398,4.0,0.013826609723330156,0.7072219564228825,0.5766130635151283,52.0
