run_name,scenario,seed,source_dataset,target_dataset,detector,guard_status,selected_parameter,selected_parameter_name,selected_raw_threshold,guard_safe_candidate_count,post_change_detected,trigger_window,detection_delay_windows,trigger_shift_score,trigger_normalized_score,calibration_trigger_count,true_change_window,monitoring_start_window,target_labels_used,one_shot
E12_v020_external_guard_amendment_reconnaissance,NF-UNSW-NB15-v3-Reconnaissance-v020-heldout-family,11,NF-UNSW-NB15-v3-Reconnaissance-V020-Historical-Source,NF-UNSW-NB15-v3-Reconnaissance-V020-Heldout-Target,mad,passed,3.0,multiplier,0.17960184199993914,4,True,47,7,162.4795005228797,8.0,0,40,40,False,True
E12_v020_external_guard_amendment_reconnaissance,NF-UNSW-NB15-v3-Reconnaissance-v020-heldout-family,11,NF-UNSW-NB15-v3-Reconnaissance-V020-Historical-Source,NF-UNSW-NB15-v3-Reconnaissance-V020-Heldout-Target,adwin,passed,0.1,delta,,5,True,130,90,6.712907498885834,8.0,0,40,40,False,True
E12_v020_external_guard_amendment_reconnaissance,NF-UNSW-NB15-v3-Reconnaissance-v020-heldout-family,11,NF-UNSW-NB15-v3-Reconnaissance-V020-Historical-Source,NF-UNSW-NB15-v3-Reconnaissance-V020-Heldout-Target,page_hinkley,passed,10.0,threshold,,3,True,47,7,162.4795005228797,8.0,1,40,40,False,True
