window,start_row,stop_row,n_rows,shift_score,predicted_unknown_rate,novel_prevalence_posthoc,labels_present_posthoc,phase,normalized_shift_score
55,27500,28000,500,0.09618173209413387,0.04,0.01,Benign|DoS|Exploits|Reconnaissance,post_change,0.02664479455723353
56,28000,28500,500,0.08815565083090715,0.032,0.012,Benign|DoS|Exploits|Reconnaissance|Shellcode,post_change,-0.25942999640466485
57,28500,29000,500,0.09804930286168048,0.036,0.008,Benign|DoS|Exploits|Reconnaissance,post_change,0.09321089318126587
58,29000,29500,500,0.1058620341689631,0.054,0.012,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,0.37168122038971574
59,29500,30000,500,0.0913326955630401,0.062,0.014,Benign|DoS|Exploits|Reconnaissance,post_change,-0.14619012531268663
60,30000,30500,500,0.09065608903053746,0.018,0.006,Benign|DoS|Exploits|Generic|Reconnaissance|Shellcode,post_change,-0.17030651113050646
61,30500,31000,500,0.07299797194479503,0.048,0.006,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,-0.7996973668186061
62,31000,31500,500,0.0879987633656786,0.07,0.006,Benign|DoS|Exploits|Fuzzers|Reconnaissance,post_change,-0.2650219593250296
63,31500,32000,500,0.10279385581946221,0.024,0.012,Benign|Exploits|Fuzzers|Generic|Reconnaissance,post_change,0.26232168973198394
64,32000,32500,500,0.10946177717934386,0.032,0.01,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,0.4999873881741696
65,32500,33000,500,0.08041430703062195,0.024,0.052,Backdoor|Benign|Exploits|Fuzzers|Generic|Reconnaissance,post_change,-0.535355848236925
66,33000,33500,500,0.08923015577249419,0.05,0.024,Benign|DoS|Exploits|Generic|Reconnaissance|Shellcode,post_change,-0.22113125926622995
67,33500,34000,500,0.07414941338508427,0.044,0.046,Benign|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,-0.7586563707792534
68,34000,34500,500,0.10397341377342326,0.034,0.008,Benign|Exploits|Reconnaissance|Shellcode|Worms,post_change,0.3043648467895776
69,34500,35000,500,0.07914636561430001,0.048,0.012,Benign|Exploits|Generic|Reconnaissance,post_change,-0.5805492699990673
70,35000,35500,500,0.14286738816516933,0.102,0.042,Benign|DoS|Exploits|Fuzzers|Reconnaissance|Shellcode,post_change,1.6906684772767389
71,35500,36000,500,0.1665125138152409,0.11,0.032,Benign|DoS|Exploits|Fuzzers|Reconnaissance|Shellcode,post_change,2.5334551568240884
72,36000,36500,500,0.0980007485560436,0.09,0.038,Benign|DoS|Exploits|Fuzzers|Reconnaissance,post_change,0.09148026494815635
73,36500,37000,500,0.08243333298963469,0.042,0.008,Benign|Exploits|Reconnaissance,post_change,-0.4633914100225271
74,37000,37500,500,0.11201722988628578,0.038,0.01,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,0.5910717635966934
75,37500,38000,500,0.0743324116505417,0.054,0.01,Benign|DoS|Exploits|Reconnaissance,post_change,-0.7521337367788995
76,38000,38500,500,0.08748600735510213,0.052,0.014,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,-0.28329819697193687
77,38500,39000,500,0.10486227346601065,0.048,0.008,Benign|DoS|Exploits|Generic|Reconnaissance|Shellcode,post_change,0.3360466031052579
78,39000,39500,500,448.0561260176038,0.034,0.006,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,8.0
79,39500,40000,500,0.09143465166894285,0.058,0.008,Benign|Exploits|Fuzzers|Reconnaissance,post_change,-0.14255608888484078
80,40000,40500,500,0.11149354910029084,0.03,0.008,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,0.5724061325781464
81,40500,41000,500,0.07955282415816015,0.058,0.008,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,-0.5660618085398595
82,41000,41500,500,0.057003408547577385,0.05,0.006,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,-1.369793934535929
83,41500,42000,500,0.08441505430626874,0.046,0.014,Benign|Exploits|Fuzzers|Generic|Reconnaissance,post_change,-0.3927566266447043
84,42000,42500,500,0.13047561335904095,0.062,0.01,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,1.2489866314234974
85,42500,43000,500,0.09148784037931652,0.06,0.016,Benign|Exploits|Generic|Reconnaissance|Shellcode,post_change,-0.1406602758843674
86,43000,43500,500,0.12852204768066186,0.068,0.01,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,1.1793554035871676
87,43500,44000,500,0.09836270586406286,0.036,0.01,Backdoor|Benign|DoS|Exploits|Reconnaissance|Shellcode,post_change,0.10438156233510956
88,44000,44500,500,0.09096978988235187,0.074,0.008,Backdoor|Benign|DoS|Exploits|Generic|Reconnaissance,post_change,-0.15912522568569673
89,44500,45000,500,0.0696882973515988,0.046,0.01,Benign|Exploits|Generic|Reconnaissance,post_change,-0.9176645834899048
90,45000,45500,500,0.49545898210366535,0.08,0.004,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,8.0
91,45500,46000,500,0.09521641657685531,0.054,0.008,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,-0.0077620879251299535
92,46000,46500,500,0.08564722312377275,0.044,0.006,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,-0.34883825286592723
93,46500,47000,500,1.0257997695473793,0.04,0.01,Benign|DoS|Exploits|Reconnaissance,post_change,8.0
94,47000,47500,500,0.20231400636729616,0.17,0.094,Benign|DoS|Exploits|Fuzzers|Reconnaissance,post_change,3.8095330037901705
95,47500,48000,500,0.3292901009059055,0.242,0.208,Benign|DoS|Exploits|Fuzzers|Reconnaissance|Shellcode,post_change,8.0
96,48000,48500,500,0.21298007784340464,0.202,0.128,Benign|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,4.189705352890669
97,48500,49000,500,0.07825476548131101,0.062,0.02,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,-0.6123287042336872
98,49000,49500,500,0.09863595937144823,0.064,0.008,Benign|DoS|Exploits|Generic|Reconnaissance|Shellcode,post_change,0.11412117715349335
99,49500,50000,500,0.08675496758381582,0.07,0.012,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,-0.3093547546987757
100,50000,50500,500,0.07955253746001317,0.056,0.008,Benign|Exploits|Reconnaissance,post_change,-0.5660720273639376
101,50500,51000,500,0.09437922347293307,0.034,0.004,Benign|Exploits|Generic|Reconnaissance|Shellcode,post_change,-0.03760228444751269
102,51000,51500,500,0.08305059837774685,0.046,0.008,Benign|DoS|Exploits|Fuzzers|Reconnaissance,post_change,-0.4413901293126918
103,51500,52000,500,0.0762699970407008,0.058,0.004,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,-0.6830720966980529
104,52000,52500,500,0.09635302815022591,0.034,0.0,Backdoor|Benign|DoS|Exploits|Generic|Worms,post_change,0.032750324993817435
105,52500,53000,500,0.09619868791696821,0.038,0.008,Benign|Exploits|Generic|Reconnaissance,post_change,0.0272491534359737
106,53000,53500,500,0.07960788018756623,0.05,0.01,Backdoor|Benign|DoS|Exploits|Reconnaissance,post_change,-0.5640994384133944
107,53500,54000,500,0.09806328063709666,0.058,0.012,Benign|Exploits|Fuzzers|Generic|Reconnaissance,post_change,0.0937091050793456
108,54000,54500,500,0.077720423535901,0.06,0.006,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,-0.6313743325200232
109,54500,55000,500,0.08581546914044824,0.054,0.008,Benign|DoS|Exploits|Reconnaissance,post_change,-0.34284143543135476
110,55000,55500,500,0.09270936168014397,0.038,0.006,Benign|Exploits|Fuzzers|Generic|Reconnaissance,post_change,-0.09712141310325083
111,55500,56000,500,0.07865916087081515,0.046,0.004,Benign|DoS|Exploits|Fuzzers|Reconnaissance|Shellcode,post_change,-0.5979147800876162
