run_name,scenario,analysis_role,seed,source_dataset,target_dataset,score_scaling_contract,score_scaling_mode,detector,guard_status,selected_parameter,selected_parameter_name,selected_raw_threshold,guard_safe_candidate_count,post_change_detected,trigger_window,detection_delay_windows,trigger_shift_score,trigger_normalized_score,calibration_trigger_count,true_change_window,monitoring_start_window,target_labels_used,one_shot,guard_results_path
E23_UNSW_Reconnaissance_core_profile_gate2_gate3,NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile,prespecified_second_episode_gate4_preflight,149,NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source,NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target,1.0-v021-source-anchored-max-scale,source_anchored_max,adwin,passed,0.1,delta,,5,True,133,93,0.935287104720392,8.0,0,40,40,False,True,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed149\guard_results.csv
E23_UNSW_Reconnaissance_core_profile_gate2_gate3,NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile,prespecified_second_episode_gate4_preflight,149,NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source,NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target,1.0-v021-source-anchored-max-scale,source_anchored_max,page_hinkley,passed,5.0,threshold,,4,True,41,1,0.1944602214633216,5.491892045679629,1,40,40,False,True,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed149\guard_results.csv
E23_UNSW_Reconnaissance_core_profile_gate2_gate3,NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile,prespecified_second_episode_gate4_preflight,23,NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source,NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target,1.0-v021-source-anchored-max-scale,source_anchored_max,mad,passed,3.0,multiplier,0.1446006626923461,4,True,47,7,0.7948279096401843,8.0,0,40,40,False,True,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed23\guard_results.csv
E23_UNSW_Reconnaissance_core_profile_gate2_gate3,NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile,prespecified_second_episode_gate4_preflight,23,NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source,NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target,1.0-v021-source-anchored-max-scale,source_anchored_max,adwin,passed,0.1,delta,,5,True,133,93,1.0664131310714011,8.0,0,40,40,False,True,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed23\guard_results.csv
E23_UNSW_Reconnaissance_core_profile_gate2_gate3,NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile,prespecified_second_episode_gate4_preflight,23,NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source,NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target,1.0-v021-source-anchored-max-scale,source_anchored_max,page_hinkley,passed,5.0,threshold,,4,True,41,1,0.2274255085760881,6.1780193378302615,1,40,40,False,True,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed23\guard_results.csv
E23_UNSW_Reconnaissance_core_profile_gate2_gate3,NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile,prespecified_second_episode_gate4_preflight,37,NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source,NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target,1.0-v021-source-anchored-max-scale,source_anchored_max,mad,passed,3.0,multiplier,0.140341328568715,4,True,47,7,0.662726154731765,8.0,0,40,40,False,True,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed37\guard_results.csv
E23_UNSW_Reconnaissance_core_profile_gate2_gate3,NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile,prespecified_second_episode_gate4_preflight,37,NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source,NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target,1.0-v021-source-anchored-max-scale,source_anchored_max,adwin,passed,0.1,delta,,5,True,132,92,0.5048484729336036,8.0,0,40,40,False,True,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed37\guard_results.csv
E23_UNSW_Reconnaissance_core_profile_gate2_gate3,NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile,prespecified_second_episode_gate4_preflight,37,NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source,NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target,1.0-v021-source-anchored-max-scale,source_anchored_max,page_hinkley,passed,5.0,threshold,,4,True,41,1,0.2660226524507064,8.0,1,40,40,False,True,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed37\guard_results.csv
E23_UNSW_Reconnaissance_core_profile_gate2_gate3,NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile,prespecified_second_episode_gate4_preflight,53,NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source,NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target,1.0-v021-source-anchored-max-scale,source_anchored_max,mad,passed,3.0,multiplier,0.1458704393147998,4,True,47,7,0.7878239913146391,8.0,0,40,40,False,True,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed53\guard_results.csv
E23_UNSW_Reconnaissance_core_profile_gate2_gate3,NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile,prespecified_second_episode_gate4_preflight,53,NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source,NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target,1.0-v021-source-anchored-max-scale,source_anchored_max,adwin,passed,0.1,delta,,5,True,133,93,0.9601581162481692,8.0,0,40,40,False,True,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed53\guard_results.csv
