metric,comparison,n_seeds,mean_difference,std_difference,median_difference,minimum_difference,maximum_difference,positive_seed_count,bootstrap_95_low,bootstrap_95_high
primary_normalized_recovery_area,anchored_B050 minus prototype_static,5,0.0006898295112353515,0.0008784168534505217,0.0011479977318130108,-0.00046431390766776826,0.001479440682176425,3,-3.397808909921807e-05,0.0013493762748148952
primary_normalized_recovery_area,anchored_B050 minus naive_B050,5,-0.0010790341753517784,0.002898735374629967,-0.0008166694611635994,-0.00463461058760245,0.00303737084694361,1,-0.003377018687548761,0.0012261701731788755
primary_normalized_recovery_area,anchored_B200 minus prototype_static,5,0.00015289349859601842,0.0007121562450901855,0.00018049069357561898,-0.0009059735704795013,0.0009932069994915138,3,-0.00044423546820920867,0.0006681204771251559
primary_normalized_recovery_area,anchored_B200 minus naive_B200,5,0.001330795602019197,0.003957839828794986,0.00025396710392255883,-0.0016589801750653277,0.007994541732344929,3,-0.0012183959811235656,0.004809614909185722
global_known_macro_f1,anchored_B050 minus prototype_static,5,0.000625861945341022,0.0007969837151149399,0.001074976010051909,-0.00044893479533930636,0.0013512571641493554,4,-3.895860763495351e-05,0.001214403496545713
global_known_macro_f1,anchored_B050 minus naive_B050,5,-0.0009391504356406122,0.0029651442288649316,-0.0004136889846734215,-0.004148386544059912,0.003244054036962263,2,-0.0031645780637223455,0.0012708862848909597
global_known_macro_f1,anchored_B200 minus prototype_static,5,0.00011692485021517208,0.0006123778938193848,0.00017328066792887675,-0.0008415054015232237,0.0007851525106722934,4,-0.00041136394611435145,0.0005404037735749267
global_known_macro_f1,anchored_B200 minus naive_B200,5,0.0012040478320178294,0.0040235600183005085,-0.00023361137148036892,-0.0016877647051620204,0.00816602727361404,2,-0.0012042025984047022,0.004806171815576276
