evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,2,0,0,420,True,Backdoor|Benign,0.722897543427471,0.160643898539438,0.6299906425452277,0.5114273598073109,0.18072438585686776,,,0.8986,,,,,0.722897543427471,0.722897543427471,0.059,,0.941,0.045058448459086076,0.5591001381767119
1,5000,10000,5000,2,0,0,621,True,Backdoor|Benign,0.6004816007698677,0.13344035572663726,0.5429284989587619,0.4746913802348765,0.17156617164853363,,,0.8578,,,,,0.6004816007698677,0.6004816007698677,0.051,,0.949,0.09610115911485774,0.5234782898713543
2,10000,15000,5000,2,0,0,676,True,Backdoor|Benign,0.5219242196222298,0.11598315991605107,0.49596650591989666,0.43185406818210753,0.14912120560635136,,,0.833,,,,,0.5219242196222298,0.5219242196222298,0.0482,,0.9518,0.12481613784408489,0.5130534691779508
3,15000,20000,5000,3,0,0,559,True,Backdoor|Benign|Exploits,0.3260666421651051,0.10868888072170171,0.3165249180230411,0.388605012883042,0.12227499081191442,,,0.8406,,,,,0.3260666421651051,0.3260666421651051,0.0382,,0.9618,0.1260137242669994,0.5048104238857609
4,20000,25000,5000,8,1,0,319,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.20757760440063638,0.184513426133899,0.2959216474697564,0.3369739170390891,0.14563825108993592,0.07790186652099915,0.4525857155988602,0.9009100101112234,0.18181818181818182,0.0,0.18181818181818182,0.8181818181818182,0.1946978931094091,0.17800230688769944,0.06511627906976744,0.8181818181818182,0.9336,0.04562982005141388,0.5688912236383292
5,25000,30000,5000,6,1,0,236,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.21745006578160508,0.14496671052107005,0.191183879093199,0.2948571408981497,0.11860912678996641,0.005895611519237382,0.24753383300275583,0.9109810254339927,0.0,0.0,0.0,1.0,0.10872503289080254,0.18638577066994721,0.051271699636657245,1.0,0.9492,0.04909397387273493,0.5759220250041063
6,30000,35000,5000,8,1,0,296,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.12221078856152513,0.10863181205468901,0.11992453231292517,0.3247427208856365,0.088880573499291,0.011096229259218342,0.2436072788486722,0.9193318394785088,0.0,0.0,0.0,1.0,0.061105394280762566,0.10863181205468901,0.04053778773680994,1.0,0.9602,0.059987502603624246,0.5644183221798255
7,35000,40000,5000,6,1,0,285,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.18574237450092165,0.12382824966728109,0.17196196258637778,0.31059137971575473,0.10807700364792142,0.08981282712709314,0.6130348682262363,0.9159201954397395,0.4431818181818182,0.0,0.4431818181818182,0.5568181818181818,0.3144620963413699,0.1543957194970306,0.05598534201954397,0.5568181818181818,0.9372,0.03990610328638498,0.569704478128354
8,40000,45000,5000,7,1,0,316,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.13845503109676813,0.10768724640859743,0.1347749176527998,0.3176338165136609,0.08810774706157971,0.008194652215579641,0.37242424242424244,0.8927272727272727,0.02,0.0,0.02,0.98,0.07922751554838406,0.12114815220967211,0.053737373737373736,0.98,0.9466,0.06634270019015423,0.5567821052131644
9,45000,50000,5000,6,1,0,413,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.16049521665728758,0.10699681110485838,0.15543928493568782,0.24747131968797342,0.08754284544942958,0.4584679822214698,0.9142332326570015,0.9004420122079562,0.8634538152610441,0.0,0.8634538152610441,0.13654618473895583,0.5119745159591659,0.13756732856338935,0.06293411913281415,0.13654618473895583,0.8972,0.0463664734730272,0.5360051372710386
