window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,queried_label_counts,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
141,70500,71000,500,0.658,0.8484848484848485,0.2828282828282828,0.7368421052631579,,0.0805111821086262,0.644586907843222,0.6052898202954194,0.7368421052631579,0.0,0.0,0.0,1.0,0.42424242424242425,0.2012779552715655,0.011695906432748537,1.0,0.996,0.7469879518072289,0.1797116680153103,False,latched,0.8202090409018002,0.004,0,{},0,False,0.5193428171074622,0.0
142,71000,71500,500,0.714,0.7777777777777778,0.25925925925925924,0.6363636363636364,,0.061590524534686976,0.6421969911791754,0.49152807976337387,0.6363636363636364,0.0,0.0,0.0,1.0,0.3888888888888889,0.15397631133671744,0.03496503496503497,1.0,0.99,0.8161616161616162,0.2600571957523754,False,latched,0.7846413915561965,0.01,0,{},0,False,0.5193428171074622,0.0
143,71500,72000,500,0.67,0.8581314878892734,0.28604382929642447,0.7515151515151515,,0.07948717948717948,0.5745840675956715,0.4245137946630484,0.7515151515151515,0.0,0.0,0.0,1.0,0.4290657439446367,0.1987179487179487,0.05454545454545454,1.0,0.982,0.7474541751527495,0.24574880542731994,False,latched,0.7380204129143951,0.018,0,{},0,False,0.5193428171074622,0.0
144,72000,72500,500,0.468,0.9008264462809917,0.3002754820936639,0.8195488721804511,,0.12144846796657383,0.5287462785778908,0.6842747895379475,0.8195488721804511,0.0,0.0,0.0,1.0,0.45041322314049587,0.30362116991643456,0.045112781954887216,1.0,0.976,0.5532786885245902,0.1390775103227501,False,latched,0.5533614887586122,0.024,0,{},0,False,0.5193428171074622,0.0
145,72500,73000,500,0.518,0.8764568764568764,0.29215229215229216,0.7800829875518672,,0.10930232558139534,0.5431521578891835,0.6318588891202999,0.7800829875518672,0.0,0.0,0.0,1.0,0.4382284382284382,0.27325581395348836,0.03319502074688797,1.0,0.984,0.6178861788617886,0.15767917404926055,False,latched,0.6169239985081362,0.016,0,{},0,False,0.5193428171074622,0.0
146,73000,73500,500,0.576,0.8415300546448088,0.28051001821493626,0.7264150943396226,,0.09418960244648318,0.5934883662775827,0.6235750786163523,0.7264150943396226,0.0,0.0,0.0,1.0,0.4207650273224044,0.23547400611620795,0.0330188679245283,1.0,0.986,0.6876267748478702,0.1325261656289832,False,latched,0.6796617450636214,0.014,0,{},0,False,0.5193428171074622,0.0
147,73500,74000,500,0.422,0.8622047244094488,0.2874015748031496,0.7577854671280276,,0.12183588317107093,0.48221605416797564,0.6861378507354992,0.7577854671280276,0.0,0.0,0.0,1.0,0.4311023622047244,0.3045897079276773,0.06228373702422145,1.0,0.964,0.5456431535269709,0.15584593009529013,False,latched,0.44731123273007817,0.036,0,{},0,False,0.5193428171074622,0.0
148,74000,74500,500,0.622,0.8979591836734694,0.29931972789115646,0.8148148148148148,,0.09418960244648318,0.6982446828172297,0.7349563619660082,0.8148148148148148,0.0,0.0,0.0,1.0,0.4489795918367347,0.23547400611620795,0.031746031746031744,1.0,0.988,0.6882591093117408,0.1778287683781144,False,latched,0.8978897309200642,0.012,0,{},0,False,0.5193428171074622,0.0
149,74500,75000,500,0.6,0.8200589970501475,0.27335299901671584,0.695,,0.08701095461658842,0.607114408415367,0.6278166666666667,0.695,0.0,0.0,0.0,1.0,0.41002949852507375,0.21752738654147105,0.02,1.0,0.992,0.719758064516129,0.18303156299857748,False,latched,1.0417870549317112,0.008,0,{},0,False,0.5193428171074622,0.0
150,75000,75500,500,0.584,0.8756756756756757,0.2918918918918919,0.7788461538461539,,0.09788519637462235,0.633504951559423,0.6858370653319283,0.7788461538461539,0.0,0.0,0.0,1.0,0.43783783783783786,0.24471299093655588,0.038461538461538464,1.0,0.984,0.6707317073170732,0.21393142052962216,False,latched,0.9193355808340448,0.016,0,{},0,False,0.5193428171074622,0.0
151,75500,76000,500,0.584,0.841225626740947,0.28040854224698236,0.7259615384615384,,0.09278033794162827,0.6050294760812609,0.6518209957850369,0.7259615384615384,0.0,0.0,0.0,1.0,0.4206128133704735,0.23195084485407066,0.019230769230769232,1.0,0.992,0.6955645161290323,0.15475462653818498,False,latched,0.8090013317712651,0.008,0,{},0,False,0.5193428171074622,0.0
152,76000,76500,500,0.496,0.8519362186788155,0.2839787395596052,0.7420634920634921,,0.10887918486171762,0.5242405671345556,0.642153097798259,0.7420634920634921,0.0,0.0,0.0,1.0,0.42596810933940776,0.27219796215429404,0.003968253968253968,1.0,0.998,0.625250501002004,0.15454904569223107,False,latched,0.6404175540526852,0.002,0,{},0,False,0.5193428171074622,0.0
153,76500,77000,500,0.548,0.8671679197994987,0.28905597326649957,0.7654867256637168,,0.10282317979197622,0.558152666290188,0.6299819133130935,0.7654867256637168,0.0,0.0,0.0,1.0,0.43358395989974935,0.25705794947994054,0.01327433628318584,1.0,0.994,0.6519114688128773,0.1291779959851388,False,latched,0.6531305409108163,0.006,0,{},0,False,0.5193428171074622,0.0
154,77000,77500,500,0.672,0.903010033444816,0.3010033444816053,0.823170731707317,,0.08503937007874016,0.6854741170180092,0.6664307491289199,0.823170731707317,0.0,0.0,0.0,1.0,0.451505016722408,0.2125984251968504,0.024390243902439025,1.0,0.992,0.7278225806451613,0.21340968414021666,False,latched,0.7137405465115709,0.008,0,{},0,False,0.5193428171074622,0.0
155,77500,78000,500,0.72,0.8524590163934426,0.28415300546448086,0.7428571428571429,,0.06887417218543046,0.7454548010633184,0.6915079365079365,0.7428571428571429,0.0,0.0,0.0,1.0,0.4262295081967213,0.17218543046357615,0.02142857142857143,1.0,0.994,0.7907444668008048,0.23292098629928124,False,latched,0.7906400219972615,0.006,0,{},0,False,0.5193428171074622,0.0
