condition,condition_code,seed,method,selection_strategy,update_rule,budget,labels_queried,queried_label_totals,query_hash,selected_mad_multiplier,global_known_macro_f1,global_novel_auprc,global_novel_auroc,global_novel_exact_recall,global_novel_rejection_rate,global_novel_harmful_acceptance_rate,global_acquisition_macro_f1,evaluation_mean_acquisition_macro_f1,primary_normalized_recovery_area,safety_normalized_recovery_area,recovery_time_evaluation_blocks,mean_source_forgetting,fit_seconds,prediction_seconds,update_seconds,summary_path
random_anchored_B200,RA200,37,cse_dos_random_source_anchored_B200,random_nested,source_anchored,200,200,"{'DoS': 188, 'Benign': 12}",0085c5acf825a08bf3f952713087b9de27db7afa2c727b3a9ce395077178ae24,3.0,0.8268577800608924,0.1397520968962498,0.14375040066611738,0.8424226334951457,0.03731796116504854,0.12025940533980582,0.7844212600009524,0.7968047725695605,0.8711365832215252,0.9022027329191702,1.0,0.020461242863610705,2.1007440999965183,0.9482406004681252,0.0034271000185981393,C:\Users\ASUS\raids-nids\results\runs\R19_DoS_s037_RA200__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_random_source_anchored_B200__seed37\summary.json
ud_naive_B200,UN200,37,cse_dos_ud_naive_replay_B200,uncertainty_diversity,naive_replay,200,200,"{'DoS': 172, 'Benign': 28}",c6f28dded8c20f260d265fef8fd0b64f39bf5e42412bcb7bfc053e73b8ce32c2,3.0,0.8301702919826585,0.13952365024318475,0.1403019983839076,0.8282387742718447,0.03731796116504854,0.1344432645631068,0.7836342055254775,0.7982193695437626,0.8723153766406216,0.9032629339950496,1.0,0.016062294000734195,2.079785800015088,1.0130887003033422,0.0037412000237964094,C:\Users\ASUS\raids-nids\results\runs\R19_DoS_s037_UN200__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_ud_naive_replay_B200__seed37\summary.json
ud_anchored_B200,UA200,37,cse_dos_ud_source_anchored_B200,uncertainty_diversity,source_anchored,200,200,"{'DoS': 172, 'Benign': 28}",c6f28dded8c20f260d265fef8fd0b64f39bf5e42412bcb7bfc053e73b8ce32c2,3.0,0.8271369876741157,0.13969314854530682,0.1423101210056391,0.8282387742718447,0.03731796116504854,0.1344432645631068,0.7815263142804978,0.7957978854233406,0.8708183064925173,0.9023457119410828,1.0,0.021074609114167888,2.0854472999926656,1.01763140008552,0.003520500031299889,C:\Users\ASUS\raids-nids\results\runs\R19_DoS_s037_UA200__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_ud_source_anchored_B200__seed37\summary.json
random_naive_B050,RN50,53,cse_dos_random_naive_replay_B050,random_nested,naive_replay,50,50,"{'DoS': 49, 'Benign': 1}",fe930d3703039853db50269fbcef425d4131520eec7ebf6365294cbed00f034f,4.0,0.8721617942880545,0.13776769498985425,0.12545311967938727,0.8431052791262136,0.03989684466019418,0.11699787621359223,0.8335422667166834,0.8361077083280425,0.8847478660607319,0.9147005900942876,1.0,0.009663270352375365,2.0952305999817327,0.9743755999370478,0.004300399974454194,C:\Users\ASUS\raids-nids\results\runs\R19_DoS_s053_RN50__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_random_naive_replay_B050__seed53\summary.json
random_anchored_B050,RA50,53,cse_dos_random_source_anchored_B050,random_nested,source_anchored,50,50,"{'DoS': 49, 'Benign': 1}",fe930d3703039853db50269fbcef425d4131520eec7ebf6365294cbed00f034f,4.0,0.8721210369085477,0.13776921387147306,0.1254222487033777,0.8431052791262136,0.03989684466019418,0.11699787621359223,0.8336102308478976,0.8361087631007095,0.8848183151243307,0.9146934368602927,1.0,0.008992733194632462,2.1016862000105903,1.0242067003273405,0.003539400000590831,C:\Users\ASUS\raids-nids\results\runs\R19_DoS_s053_RA50__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_random_source_anchored_B050__seed53\summary.json
ud_naive_B050,UN50,53,cse_dos_ud_naive_replay_B050,uncertainty_diversity,naive_replay,50,50,"{'Benign': 27, 'DoS': 23}",0a6058ad19c04fdb18a03537f8867cc5a41f85fafaafdeb54bf8a82b64181f4c,4.0,0.8640064059789136,0.14458414928588018,0.23011640036038628,0.015776699029126214,0.03079490291262136,0.9534283980582524,0.39678828376041836,0.5966440605479932,0.3645758764039618,0.5193081865879526,,0.020774904644341848,2.181257799966261,1.004387199645862,0.0036399999517016113,C:\Users\ASUS\raids-nids\results\runs\R19_DoS_s053_UN50__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_ud_naive_replay_B050__seed53\summary.json
ud_anchored_B050,UA50,53,cse_dos_ud_source_anchored_B050,uncertainty_diversity,source_anchored,50,50,"{'Benign': 27, 'DoS': 23}",0a6058ad19c04fdb18a03537f8867cc5a41f85fafaafdeb54bf8a82b64181f4c,4.0,0.8645298989825493,0.14465114517611177,0.23035662505329685,0.015928398058252427,0.03079490291262136,0.9532766990291263,0.3969254625049862,0.596859727089197,0.36452329849753107,0.5197296213217997,,0.018205709973684713,2.2005480999941938,1.0262121994164772,0.003422900044824928,C:\Users\ASUS\raids-nids\results\runs\R19_DoS_s053_UA50__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_ud_source_anchored_B050__seed53\summary.json
random_naive_B200,RN200,53,cse_dos_random_naive_replay_B200,random_nested,naive_replay,200,200,"{'DoS': 188, 'Benign': 12}",0085c5acf825a08bf3f952713087b9de27db7afa2c727b3a9ce395077178ae24,4.0,0.8690148330675943,0.13753396792276182,0.12810425633400477,0.8433328276699029,0.039669296116504854,0.11699787621359223,0.8286661075828058,0.83320767926479,0.8812376808963043,0.9131525898877321,1.0,0.010441054017582987,2.065022199996747,1.0161838000640273,0.004887300019618124,C:\Users\ASUS\raids-nids\results\runs\R19_DoS_s053_RN200__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_random_naive_replay_B200__seed53\summary.json
random_anchored_B200,RA200,53,cse_dos_random_source_anchored_B200,random_nested,source_anchored,200,200,"{'DoS': 188, 'Benign': 12}",0085c5acf825a08bf3f952713087b9de27db7afa2c727b3a9ce395077178ae24,4.0,0.8683723909549075,0.13755626573665716,0.1282550419966786,0.8433328276699029,0.03951759708737864,0.11714957524271845,0.827974698119276,0.8326319405337212,0.8808915448537745,0.9128272928357588,1.0,0.0120026663165568,2.1160228000371717,1.0316433002590202,0.0036501000286079943,C:\Users\ASUS\raids-nids\results\runs\R19_DoS_s053_RA200__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_random_source_anchored_B200__seed53\summary.json
ud_naive_B200,UN200,53,cse_dos_ud_naive_replay_B200,uncertainty_diversity,naive_replay,200,200,"{'DoS': 172, 'Benign': 28}",b6dfb8f489338a5b5e51a79acb0d459533909f259c140cb4a02a87973ddd4ac3,4.0,0.8694995985438916,0.13747517515856955,0.12656875123391556,0.8302108616504854,0.039669296116504854,0.1301198422330097,0.824132780536498,0.832030822432588,0.8806809313347345,0.9132739568040718,1.0,0.0050365463388204875,2.1315544999670237,1.030525500071235,0.0038932000170461833,C:\Users\ASUS\raids-nids\results\runs\R19_DoS_s053_UN200__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_ud_naive_replay_B200__seed53\summary.json
