episode,seed,analysis_source,guard_status,safe_candidate_count,selected_MAD_multiplier,selected_threshold,calibration_median,calibration_scaled_MAD,guard_shift_score_max,guard_unknown_rate_max,drift_trigger_windows,trigger_delay_windows,global_known_macro_f1,global_novel_auprc,global_novel_auroc,global_novel_exact_recall,global_novel_rejection_rate,global_novel_harmful_acceptance_rate,global_acquisition_macro_f1,primary_normalized_recovery_area,summary_path
Web Attacks,23,secondary_seed_robustness,passed,1,6.0,0.3168225976273908,0.11196757898074637,0.03414250310777407,0.380632601452149,0.072,[42],2.0,0.6948314900287381,0.0305739586972661,0.7129318907999904,0.0,0.5196078431372549,0.4803921568627451,0.3473646975592501,0.44173262927036683,C:\Users\ASUS\raids-nids\results\runs\R18_CSE_Web_guard_seed_robustness_s023__NF-CICIDS2018-v3-Web-Attacks-Historical-Pilot-to-NF-CICIDS2018-v3-Web-Attacks-Emergence-Pilot__web_attacks_sparse_first_family_emergence__cse_web_prototype_static_open_guard_safe__seed23\summary.json
Web Attacks,37,secondary_seed_robustness,passed,2,5.0,0.2938119548456402,0.11060239954947819,0.0366419110592324,0.3726396364887513,0.08,[42],2.0,0.6952504801754205,0.029860196169389983,0.712393197616667,0.0,0.5196078431372549,0.4803921568627451,0.34757417824540027,0.4399499811571747,C:\Users\ASUS\raids-nids\results\runs\R18_CSE_Web_guard_seed_robustness_s037__NF-CICIDS2018-v3-Web-Attacks-Historical-Pilot-to-NF-CICIDS2018-v3-Web-Attacks-Emergence-Pilot__web_attacks_sparse_first_family_emergence__cse_web_prototype_static_open_guard_safe__seed37\summary.json
Web Attacks,53,secondary_seed_robustness,passed,1,6.0,0.30347676693726644,0.1115771722015666,0.03198326578928331,0.3710535519078615,0.078,[42],2.0,0.709761425635176,0.03069117353404368,0.7120805953033935,0.0,0.5196078431372549,0.4803921568627451,0.35482916489582045,0.44886759085308564,C:\Users\ASUS\raids-nids\results\runs\R18_CSE_Web_guard_seed_robustness_s053__NF-CICIDS2018-v3-Web-Attacks-Historical-Pilot-to-NF-CICIDS2018-v3-Web-Attacks-Emergence-Pilot__web_attacks_sparse_first_family_emergence__cse_web_prototype_static_open_guard_safe__seed53\summary.json
Web Attacks,71,secondary_seed_robustness,passed,2,5.0,0.26805343362532263,0.11044451178710549,0.03152178436764343,0.3526406846570114,0.074,[42],2.0,0.6935301969544253,0.0292842454435078,0.7154785816309877,0.0,0.5196078431372549,0.4803921568627451,0.3467140958316083,0.4397865062049989,C:\Users\ASUS\raids-nids\results\runs\R18_CSE_Web_guard_seed_robustness_s071__NF-CICIDS2018-v3-Web-Attacks-Historical-Pilot-to-NF-CICIDS2018-v3-Web-Attacks-Emergence-Pilot__web_attacks_sparse_first_family_emergence__cse_web_prototype_static_open_guard_safe__seed71\summary.json
Web Attacks,83,secondary_seed_robustness,passed,1,6.0,0.2901650991963373,0.11142882150927491,0.029789379614510402,0.3701156310637265,0.072,[42],2.0,0.6902047749878468,0.02995679023383607,0.7168502540885242,0.0,0.5098039215686274,0.49019607843137253,0.34504773139349454,0.4409896427165263,C:\Users\ASUS\raids-nids\results\runs\R18_CSE_Web_guard_seed_robustness_s083__NF-CICIDS2018-v3-Web-Attacks-Historical-Pilot-to-NF-CICIDS2018-v3-Web-Attacks-Emergence-Pilot__web_attacks_sparse_first_family_emergence__cse_web_prototype_static_open_guard_safe__seed83\summary.json
Web Attacks,97,secondary_seed_robustness,passed,1,6.0,0.2959532743581754,0.11060146893750965,0.03089196757011096,0.36379201508562464,0.072,[42],2.0,0.7135476741004608,0.030300611148204634,0.7123630249110438,0.0,0.5098039215686274,0.49019607843137253,0.35671833932307034,0.4482448720281094,C:\Users\ASUS\raids-nids\results\runs\R18_CSE_Web_guard_seed_robustness_s097__NF-CICIDS2018-v3-Web-Attacks-Historical-Pilot-to-NF-CICIDS2018-v3-Web-Attacks-Emergence-Pilot__web_attacks_sparse_first_family_emergence__cse_web_prototype_static_open_guard_safe__seed97\summary.json
Web Attacks,109,secondary_seed_robustness,passed,2,5.0,0.27251514477230565,0.11193054369209957,0.03211692021604122,0.36200404891085847,0.078,[42],2.0,0.7157523792181919,0.030208910450165844,0.708450221904305,0.0,0.5196078431372549,0.4803921568627451,0.35782444791912094,0.44828211310321076,C:\Users\ASUS\raids-nids\results\runs\R18_CSE_Web_guard_seed_robustness_s109__NF-CICIDS2018-v3-Web-Attacks-Historical-Pilot-to-NF-CICIDS2018-v3-Web-Attacks-Emergence-Pilot__web_attacks_sparse_first_family_emergence__cse_web_prototype_static_open_guard_safe__seed109\summary.json
Web Attacks,127,secondary_seed_robustness,failed,0,,,0.11083704051442739,0.023572189092599394,0.3849624026352102,0.072,,,,,,,,,,,
Web Attacks,149,secondary_seed_robustness,passed,1,6.0,0.28370208336163494,0.1118801390297936,0.028636990721973555,0.36998913203564526,0.072,[42],2.0,0.679166506012151,0.030641752936485595,0.7196496924346478,0.0,0.5196078431372549,0.4803921568627451,0.33953275763316737,0.435832720575789,C:\Users\ASUS\raids-nids\results\runs\R18_CSE_Web_guard_seed_robustness_s149__NF-CICIDS2018-v3-Web-Attacks-Historical-Pilot-to-NF-CICIDS2018-v3-Web-Attacks-Emergence-Pilot__web_attacks_sparse_first_family_emergence__cse_web_prototype_static_open_guard_safe__seed149\summary.json
Bot,11,authoritative_primary_seed,failed,0,,,0.11993683727373154,0.03941318877974903,0.4358088368811024,0.214,,,,,,,,,,,
Bot,23,secondary_seed_robustness,failed,0,,,0.12180462099419519,0.03841508876516571,0.40245361682575664,0.182,,,,,,,,,,,
Bot,37,secondary_seed_robustness,failed,0,,,0.12022266320672846,0.039800853001629034,0.3975854720703884,0.19,,,,,,,,,,,
Bot,53,secondary_seed_robustness,failed,0,,,0.12143071044564377,0.03836735994585124,0.4129425365581676,0.182,,,,,,,,,,,
Bot,71,secondary_seed_robustness,failed,0,,,0.11876679164705989,0.03678614956327516,0.4012975071369093,0.248,,,,,,,,,,,
Bot,83,secondary_seed_robustness,failed,0,,,0.11951181187529208,0.03827412451897246,0.3964204267699826,0.21,,,,,,,,,,,
Bot,97,secondary_seed_robustness,failed,0,,,0.12115604512947162,0.03858999305168159,0.4147385345197718,0.182,,,,,,,,,,,
Bot,109,secondary_seed_robustness,failed,0,,,0.12044099078081519,0.0373470661187079,0.401530570422676,0.214,,,,,,,,,,,
Bot,127,secondary_seed_robustness,failed,0,,,0.12074098539276168,0.037512857674673654,0.4171544551745231,0.182,,,,,,,,,,,
Bot,149,secondary_seed_robustness,failed,0,,,0.11239846009960561,0.034920024157550904,0.41475854922857613,0.176,,,,,,,,,,,
