metric,analysis_family,contrast,seed,difference
Recovery area,simple_effects,At B200: random minus UD,23,0.0003134232989665531
Recovery area,simple_effects,At B200: random minus UD,37,-0.0003662084482954908
Recovery area,simple_effects,At B200: random minus UD,53,0.0014188857392487542
Recovery area,simple_effects,At B200: random minus UD,71,-0.00046111269782800335
Recovery area,simple_effects,At B200: random minus UD,83,0.0012584172263667703
Recovery area,simple_effects,At B200: random minus UD,97,0.0012026549963070066
Recovery area,simple_effects,At B200: random minus UD,109,-0.0005313325933419266
Recovery area,simple_effects,At B200: random minus UD,127,-0.000897490491564179
Recovery area,simple_effects,At B200: random minus UD,149,0.00037469732902395414
Recovery area,simple_effects,Within UD: B200 minus B50,11,0.5135117977998865
Recovery area,simple_effects,Within UD: B200 minus B50,23,0.4880767128841047
Recovery area,simple_effects,Within UD: B200 minus B50,37,0.4865162852140182
Recovery area,simple_effects,Within UD: B200 minus B50,53,0.5150961396850443
Recovery area,simple_effects,Within UD: B200 minus B50,71,0.5029573825964636
Recovery area,simple_effects,Within UD: B200 minus B50,83,0.4929371577393504
Recovery area,simple_effects,Within UD: B200 minus B50,97,0.5023647679226838
Recovery area,simple_effects,Within UD: B200 minus B50,109,0.49027039729081046
Recovery area,simple_effects,Within UD: B200 minus B50,127,0.5002750625801246
Recovery area,simple_effects,Within UD: B200 minus B50,149,0.5084461486856082
Recovery area,simple_effects,Within random: B200 minus B50,11,-0.005223136051635158
Recovery area,simple_effects,Within random: B200 minus B50,23,-0.00022058059096818905
Recovery area,simple_effects,Within random: B200 minus B50,37,-0.001241963110400035
Recovery area,simple_effects,Within random: B200 minus B50,53,-0.003718477717491897
Recovery area,simple_effects,Within random: B200 minus B50,71,-0.001901083260456904
Recovery area,simple_effects,Within random: B200 minus B50,83,-0.0009635564332894919
Recovery area,simple_effects,Within random: B200 minus B50,97,-0.0021159631119189726
Recovery area,simple_effects,Within random: B200 minus B50,109,-0.0010070677695188657
Recovery area,simple_effects,Within random: B200 minus B50,127,-0.001226209454545435
Recovery area,simple_effects,Within random: B200 minus B50,149,-0.00736521992928274
Recovery area,static_comparisons,Random B50 minus static,11,0.5104510699287851
Recovery area,static_comparisons,Random B50 minus static,23,0.47374499189038033
Recovery area,static_comparisons,Random B50 minus static,37,0.4719302904905807
Recovery area,static_comparisons,Random B50 minus static,53,0.511529483278222
Recovery area,static_comparisons,Random B50 minus static,71,0.49388191054509384
Recovery area,static_comparisons,Random B50 minus static,83,0.4844571432789525
Recovery area,static_comparisons,Random B50 minus static,97,0.5010657971256367
Recovery area,static_comparisons,Random B50 minus static,109,0.4866782455704064
Recovery area,static_comparisons,Random B50 minus static,127,0.49444107484694466
Recovery area,static_comparisons,Random B50 minus static,149,0.5117964469195702
Recovery area,static_comparisons,UD B50 minus static,11,-0.008291590520245862
Recovery area,static_comparisons,UD B50 minus static,23,-0.014865724883659115
Recovery area,static_comparisons,UD B50 minus static,37,-0.015461749385542012
Recovery area,static_comparisons,UD B50 minus static,53,-0.008704019863562895
Recovery area,static_comparisons,UD B50 minus static,71,-0.010515442613998671
Recovery area,static_comparisons,UD B50 minus static,83,-0.010701988120054129
Recovery area,static_comparisons,UD B50 minus static,97,-0.004617588905273029
Recovery area,static_comparisons,UD B50 minus static,109,-0.004067886896580997
Recovery area,static_comparisons,UD B50 minus static,127,-0.0061627066961611465
Recovery area,static_comparisons,UD B50 minus static,149,-0.00438961902434476
Recovery area,static_comparisons,Random B200 minus static,11,0.5052279338771499
Recovery area,static_comparisons,Random B200 minus static,23,0.47352441129941214
Recovery area,static_comparisons,Random B200 minus static,37,0.4706883273801807
Recovery area,static_comparisons,Random B200 minus static,53,0.5078110055607301
Recovery area,static_comparisons,Random B200 minus static,71,0.49198082728463693
Recovery area,static_comparisons,Random B200 minus static,83,0.483493586845663
Recovery area,static_comparisons,Random B200 minus static,97,0.4989498340137178
Recovery area,static_comparisons,Random B200 minus static,109,0.48567117780088753
Recovery area,static_comparisons,Random B200 minus static,127,0.4932148653923992
Recovery area,static_comparisons,Random B200 minus static,149,0.5044312269902875
