episode,seeds,guard_passes,median_safe_candidates,median_calibration,median_scaled_MAD,median_guard_max,guard_failures,descriptive_pass_percent
Bot,10,0,0.0,0.12033182699377182,0.03832074223241185,0.4076980766919621,10,0.0
DoS,10,10,4.0,0.11896364345113064,0.0317140171684244,0.3414034541342329,0,100.0
Web Attacks,10,8,1.0,0.11150299685542076,0.031206875968877196,0.37058459148579403,2,80.0
