episode,passing_seeds,acquisition_mean,acquisition_std,acquisition_min,acquisition_max,recovery_area_mean,recovery_area_std,novel_exact_recall_mean,harmful_acceptance_mean
DoS,10,0.398353431781653,0.0033463111880534173,0.3944205130357677,0.40336960761155577,0.38073861598930214,0.012138976479104138,0.0,0.9611347087378641
Web Attacks,8,0.3494506766001165,0.006380546057787783,0.33953275763316737,0.35782444791912094,0.44296075698865767,0.004876657525753553,0.0,0.48284313725490197
