strategy,budget,queried_DoS,queried_DoS_static_unknown_score_mean,queried_DoS_static_unknown_score_median,centroid_gap_to_full_DoS,normalized_centroid_gap,full_DoS_mean_distance_to_query_centroid,full_DoS_median_nearest_query_sample_distance,full_DoS_p90_nearest_query_sample_distance,novel_centroid_nearest_rate,novel_centroid_within_threshold_rate,static_geometry_proxy_exact_rate
uncertainty_diversity,50,23,0.751974223896354,0.7926032206236866,5.802676715064027,3.3543555001404353,7.164883893730889,1.365226968704875,4.644347484716508,0.04027609223300971,0.9457675970873787,0.019265776699029125
uncertainty_diversity,200,172,0.6103331754585475,0.5267121193832172,1.4068168803367678,0.8132391604718197,3.358009853595237,1.218810153212702,4.643724181735503,0.9010163834951457,0.9559314320388349,0.8704490291262136
random_nested,50,49,0.6030921075632593,0.5287602839734414,1.3571397460454648,0.7845222808619915,3.2482017471259628,1.245595733434829,4.6459552401976865,0.9010922330097088,0.9560072815533981,0.8702214805825242
random_nested,200,188,0.6025014495780974,0.5252300287370526,1.3036036622410136,0.7535746568630112,3.301142710707772,1.2347296479445347,4.643724181735503,0.9010922330097088,0.9563865291262136,0.8706007281553398
