seed,selection_strategy,budget,runner_query_hash,ordered_vector_hash,unordered_set_hash,minimum_row,maximum_row,unique_rows,Benign_queried,DoS_queried,DoS_queried_percent
83,random_nested,50,fe930d3703039853db50269fbcef425d4131520eec7ebf6365294cbed00f034f,4331320e7365e93dc1c680f1d57bc2cb135ba504b7b620a2220469daad29b6b1,4331320e7365e93dc1c680f1d57bc2cb135ba504b7b620a2220469daad29b6b1,20501,20989,50,1,49,98.0
83,uncertainty_diversity,50,76111baef56c3e371b7d6e609727de33c8c3d0f50bab78eaaab07c16301e6f16,54bd46be74d7943755d8590b046013490bea332173b7943dca9989eb18f23447,54bd46be74d7943755d8590b046013490bea332173b7943dca9989eb18f23447,20543,20994,50,27,23,46.0
83,random_nested,200,0085c5acf825a08bf3f952713087b9de27db7afa2c727b3a9ce395077178ae24,4a20c9f8362978853cf7ec1f88d0d0d7ce9e50d7021a0e74f88697ebe5d74449,4a20c9f8362978853cf7ec1f88d0d0d7ce9e50d7021a0e74f88697ebe5d74449,20500,20998,200,12,188,94.0
83,uncertainty_diversity,200,a6438e28178f37e4b2b7c38ec0052a03efd850ee03e616c6a8bd84daf4cd1160,ff71416666289ef2fbdc16c9a8d76bb639c51c11d5be39cf813ed229977b3223,ff71416666289ef2fbdc16c9a8d76bb639c51c11d5be39cf813ed229977b3223,20500,20998,200,28,172,86.0
97,random_nested,50,fe930d3703039853db50269fbcef425d4131520eec7ebf6365294cbed00f034f,4331320e7365e93dc1c680f1d57bc2cb135ba504b7b620a2220469daad29b6b1,4331320e7365e93dc1c680f1d57bc2cb135ba504b7b620a2220469daad29b6b1,20501,20989,50,1,49,98.0
97,uncertainty_diversity,50,438071817e15a9d6887bba0d97c40eb1d58dd0bdda7317791ca1dcf837849829,c991424259707ce7d71c1aca3c092124712da166440ce3dbef2b54a8c78f82bf,c991424259707ce7d71c1aca3c092124712da166440ce3dbef2b54a8c78f82bf,20543,20994,50,27,23,46.0
97,random_nested,200,0085c5acf825a08bf3f952713087b9de27db7afa2c727b3a9ce395077178ae24,4a20c9f8362978853cf7ec1f88d0d0d7ce9e50d7021a0e74f88697ebe5d74449,4a20c9f8362978853cf7ec1f88d0d0d7ce9e50d7021a0e74f88697ebe5d74449,20500,20998,200,12,188,94.0
97,uncertainty_diversity,200,9cf38e7dc3397a6ca20569d2676ebf4595647c669fbb20c51a1a1261c84e8a0c,ecdb246c73c925fefbc70bb2ae6b6fddd11436a53387d03f4f5deab4130780b3,ecdb246c73c925fefbc70bb2ae6b6fddd11436a53387d03f4f5deab4130780b3,20500,20998,200,28,172,86.0
109,random_nested,50,fe930d3703039853db50269fbcef425d4131520eec7ebf6365294cbed00f034f,4331320e7365e93dc1c680f1d57bc2cb135ba504b7b620a2220469daad29b6b1,4331320e7365e93dc1c680f1d57bc2cb135ba504b7b620a2220469daad29b6b1,20501,20989,50,1,49,98.0
109,uncertainty_diversity,50,a2768f7d68c86343b8e9c73b6a21e6b421b13b42750438329f4784e7dacb0a16,704b275ebf12577d4882938ae08cf5361f62866efa11314b2a21904f0dd36758,704b275ebf12577d4882938ae08cf5361f62866efa11314b2a21904f0dd36758,20543,20994,50,27,23,46.0
109,random_nested,200,0085c5acf825a08bf3f952713087b9de27db7afa2c727b3a9ce395077178ae24,4a20c9f8362978853cf7ec1f88d0d0d7ce9e50d7021a0e74f88697ebe5d74449,4a20c9f8362978853cf7ec1f88d0d0d7ce9e50d7021a0e74f88697ebe5d74449,20500,20998,200,12,188,94.0
109,uncertainty_diversity,200,5707c7fea17e243012b1c641a07b24adefc66eac89419b02210bd9beef0e90a3,f287ebdb7b4c11aaf960e26caec2e825226529edb7a7669b62141749fc6f6d7d,f287ebdb7b4c11aaf960e26caec2e825226529edb7a7669b62141749fc6f6d7d,20500,20997,200,28,172,86.0
127,random_nested,50,fe930d3703039853db50269fbcef425d4131520eec7ebf6365294cbed00f034f,4331320e7365e93dc1c680f1d57bc2cb135ba504b7b620a2220469daad29b6b1,4331320e7365e93dc1c680f1d57bc2cb135ba504b7b620a2220469daad29b6b1,20501,20989,50,1,49,98.0
127,uncertainty_diversity,50,dbb035c56060cd55bb9f6dce086ee1c5f9c472190a5fe822a6211df1334e2d83,b518e30bd7f7c1e6f44ec43db2d10666537f4fce4bbe1c5376cecf614c4896d3,b518e30bd7f7c1e6f44ec43db2d10666537f4fce4bbe1c5376cecf614c4896d3,20543,20994,50,27,23,46.0
127,random_nested,200,0085c5acf825a08bf3f952713087b9de27db7afa2c727b3a9ce395077178ae24,4a20c9f8362978853cf7ec1f88d0d0d7ce9e50d7021a0e74f88697ebe5d74449,4a20c9f8362978853cf7ec1f88d0d0d7ce9e50d7021a0e74f88697ebe5d74449,20500,20998,200,12,188,94.0
127,uncertainty_diversity,200,34b20c502197540421badfb494809f0c029a1e599a56ddd25887e90b8a732714,255340d1ea3db493296dd4da5930ba9bf9de621198ea876148d4dc64c00f7a62,255340d1ea3db493296dd4da5930ba9bf9de621198ea876148d4dc64c00f7a62,20500,20999,200,28,172,86.0
149,random_nested,50,fe930d3703039853db50269fbcef425d4131520eec7ebf6365294cbed00f034f,4331320e7365e93dc1c680f1d57bc2cb135ba504b7b620a2220469daad29b6b1,4331320e7365e93dc1c680f1d57bc2cb135ba504b7b620a2220469daad29b6b1,20501,20989,50,1,49,98.0
149,uncertainty_diversity,50,570acfded5c6ba688ba7221536b6f2eb517ce9f40f531b510fb392ba5291a80b,49639c014a939293ab61226bf30e17528e84da7b110638d73a9f16b20b4009c2,49639c014a939293ab61226bf30e17528e84da7b110638d73a9f16b20b4009c2,20543,20994,50,27,23,46.0
149,random_nested,200,0085c5acf825a08bf3f952713087b9de27db7afa2c727b3a9ce395077178ae24,4a20c9f8362978853cf7ec1f88d0d0d7ce9e50d7021a0e74f88697ebe5d74449,4a20c9f8362978853cf7ec1f88d0d0d7ce9e50d7021a0e74f88697ebe5d74449,20500,20998,200,12,188,94.0
149,uncertainty_diversity,200,ce67f256d43da994704021809bd2fcdc4ccaeb4a0879aba5fd448b6ae915c6e8,b54371ac92651003a9c2f2b079fa563f0e9d9c84f6fd85c96a013a2f41e4bd67,b54371ac92651003a9c2f2b079fa563f0e9d9c84f6fd85c96a013a2f41e4bd67,20502,20999,200,28,172,86.0
