query_seed,model_seed,budget,run_name,summary_path,method,selection_strategy,update_rule,labels_queried,Benign_queried,DoS_queried,DoS_queried_percent,query_selection_sha256,global_known_macro_f1,global_novel_auprc,global_novel_exact_recall,global_novel_rejection_rate,global_novel_harmful_acceptance_rate,global_acquisition_macro_f1,evaluation_mean_acquisition_macro_f1,primary_normalized_recovery_area,safety_normalized_recovery_area,recovery_time_evaluation_blocks,mean_source_forgetting,config_path,execution_status,run_seconds,selected_MAD_multiplier,drift_trigger_windows,trigger_delay_windows,update_windows,fit_seconds,prediction_seconds,update_seconds,delta_global_acquisition_macro_f1_vs_static,delta_global_novel_exact_recall_vs_static,delta_primary_normalized_recovery_area_vs_static,delta_mean_source_forgetting_vs_static
83,11,50,R20_DoS_random_query_seed_q083_B050,C:\Users\ASUS\raids-nids\results\runs\R20_DoS_random_query_seed_q083_B050__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_random_naive_replay_B050__seed11\summary.json,cse_dos_random_naive_replay_B050,random_nested,naive_replay,50,5,45,90.0,626060be8e0f27ede5674ba5e165cdf7749210ffc30b5d563bf9be8e8b7b3670,0.8515145382176348,0.1375773305896324,0.8435603762135923,0.0390625,0.1173771237864077,0.8144888518988043,0.818867704861563,0.8787219124043344,0.9129420210855512,1,0.0128253111441308,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_random_query_seed_sensitivity_v018\cse_dos_random_query_seed_q083_B050_v018.yaml,recovered,0.0,3.0,[41],1.0,[41],2.0218027000082657,1.000245800241828,0.0034670999739319,0.42006833886303657,0.8435603762135923,0.5113461356175283,0.0128253111441308
83,11,200,R20_DoS_random_query_seed_q083_B200,C:\Users\ASUS\raids-nids\results\runs\R20_DoS_random_query_seed_q083_B200__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_random_naive_replay_B200__seed11\summary.json,cse_dos_random_naive_replay_B200,random_nested,naive_replay,200,15,185,92.5,fe850615b0013a45add16c0149a77d9b38c90dabee376888f90794b16873445c,0.8546264128786025,0.1376040875239462,0.8435603762135923,0.0390625,0.1173771237864077,0.8186406285796024,0.8216287395373092,0.8809421393389446,0.914041170385824,1,0.0144855423553505,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_random_query_seed_sensitivity_v018\cse_dos_random_query_seed_q083_B200_v018.yaml,recovered,0.0,3.0,[41],1.0,[41],2.086118199978955,1.0689466004259884,0.003452599979937,0.4242201155438347,0.8435603762135923,0.5135663625521385,0.0144855423553505
97,11,50,R20_DoS_random_query_seed_q097_B050,C:\Users\ASUS\raids-nids\results\runs\R20_DoS_random_query_seed_q097_B050__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_random_naive_replay_B050__seed11\summary.json,cse_dos_random_naive_replay_B050,random_nested,naive_replay,50,3,47,94.0,2c4ca568ada30babda6379e27addbc05f84428644e6d70850324081a8a84346d,0.8608760713655691,0.1379169452280444,0.8428777305825242,0.0394417475728155,0.1176805218446602,0.8292054791944174,0.8276151078930315,0.8878365673618068,0.917184670819303,1,0.0091680826544268,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_random_query_seed_sensitivity_v018\cse_dos_random_query_seed_q097_B050_v018.yaml,recovered,0.0,3.0,[41],1.0,[41],2.157197000051383,1.0571699999272823,0.00340149999829,0.43478496615864975,0.8428777305825242,0.5204607905750007,0.0091680826544268
97,11,200,R20_DoS_random_query_seed_q097_B200,C:\Users\ASUS\raids-nids\results\runs\R20_DoS_random_query_seed_q097_B200__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_random_naive_replay_B200__seed11\summary.json,cse_dos_random_naive_replay_B200,random_nested,naive_replay,200,11,189,94.5,8ee8dc07619c8044dba3cde8c5f3e8da78589a4e3a7936ef82ec04179e236e40,0.8532095484218648,0.1375151324392237,0.8436362257281553,0.0389866504854368,0.1173771237864077,0.8161801311445558,0.820205286030264,0.8796010132568556,0.913344216502943,1,0.0092220876968054,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_random_query_seed_sensitivity_v018\cse_dos_random_query_seed_q097_B200_v018.yaml,recovered,0.0,3.0,[41],1.0,[41],2.0588129999814555,1.0046496000140903,0.0039870000327937,0.4217596181087881,0.8436362257281553,0.5122252364700495,0.0092220876968054
109,11,50,R20_DoS_random_query_seed_q109_B050,C:\Users\ASUS\raids-nids\results\runs\R20_DoS_random_query_seed_q109_B050__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_random_naive_replay_B050__seed11\summary.json,cse_dos_random_naive_replay_B050,random_nested,naive_replay,50,5,45,90.0,26dd791bffd03e7af8faba746018d5c85e0101ff93eb7df641ab868096c3bcf2,0.8388960881938976,0.1375720430638236,0.7956234830097088,0.0382281553398058,0.1661483616504854,0.7796782209162917,0.8008203455911013,0.8615171937905822,0.9026766617782922,1,0.022992291740551,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_random_query_seed_sensitivity_v018\cse_dos_random_query_seed_q109_B050_v018.yaml,recovered,0.0,3.0,[41],1.0,[41],2.083431300008669,1.0415152999921702,0.0053497999906539,0.385257707880524,0.7956234830097088,0.4941414170037761,0.022992291740551
109,11,200,R20_DoS_random_query_seed_q109_B200,C:\Users\ASUS\raids-nids\results\runs\R20_DoS_random_query_seed_q109_B200__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_random_naive_replay_B200__seed11\summary.json,cse_dos_random_naive_replay_B200,random_nested,naive_replay,200,9,191,95.5,5907fbfa11abb5201f4417fd60c87f1f48368697821dffe4bf198bff08cc9711,0.8537009377831101,0.1376773940961079,0.8435603762135923,0.0390625,0.1173771237864077,0.8173464611819437,0.8207391865813011,0.8801112610614116,0.913644282570394,1,0.0116917427778977,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_random_query_seed_sensitivity_v018\cse_dos_random_query_seed_q109_B200_v018.yaml,recovered,0.0,3.0,[41],1.0,[41],2.240919000003487,1.0900229001999833,0.003903100034222,0.42292594814617596,0.8435603762135923,0.5127354842746055,0.0116917427778977
127,11,50,R20_DoS_random_query_seed_q127_B050,C:\Users\ASUS\raids-nids\results\runs\R20_DoS_random_query_seed_q127_B050__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_random_naive_replay_B050__seed11\summary.json,cse_dos_random_naive_replay_B050,random_nested,naive_replay,50,1,49,98.0,82a6c47348dd7a386bdf850d53a54e58cd8c891f7fe4803691eaf2a648980176,0.8419334091921041,0.1374221211766868,0.8445464199029126,0.0380764563106796,0.1173771237864077,0.8032390973909885,0.810252626280945,0.87291442932814,0.9093213969977236,1,0.0172156731526821,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_random_query_seed_sensitivity_v018\cse_dos_random_query_seed_q127_B050_v018.yaml,recovered,0.0,3.0,[41],1.0,[41],2.116156200005207,1.0509429999510758,0.0036284999805502,0.40881858435522084,0.8445464199029126,0.5055386525413339,0.0172156731526821
127,11,200,R20_DoS_random_query_seed_q127_B200,C:\Users\ASUS\raids-nids\results\runs\R20_DoS_random_query_seed_q127_B200__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_random_naive_replay_B200__seed11\summary.json,cse_dos_random_naive_replay_B200,random_nested,naive_replay,200,7,193,96.5,efce6a6f61a3e40e9edfb32a26e651437866e359d1fa0277096ed92f85ffc2f6,0.840958605664488,0.1373705244438095,0.8439396237864077,0.0386832524271844,0.1173771237864077,0.7987342288313356,0.8087075449514961,0.8715973503409353,0.9091522628830344,1,0.0202218697086407,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_random_query_seed_sensitivity_v018\cse_dos_random_query_seed_q127_B200_v018.yaml,recovered,0.0,3.0,[41],1.0,[41],2.1807166999788024,1.107348999590613,0.0043841000297106,0.4043137157955679,0.8439396237864077,0.5042215735541292,0.0202218697086407
149,11,50,R20_DoS_random_query_seed_q149_B050,C:\Users\ASUS\raids-nids\results\runs\R20_DoS_random_query_seed_q149_B050__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_random_naive_replay_B050__seed11\summary.json,cse_dos_random_naive_replay_B050,random_nested,naive_replay,50,4,46,92.0,66801bcf08d3f903acbfe658e50d5e677183f941f7aad5a910cd3361882056ad,0.8447126032586232,0.1377425175361034,0.831348604368932,0.0389866504854368,0.129664745145631,0.7991612132204111,0.8105223431922376,0.8729374209004654,0.9104720119211028,1,0.019859572743752,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_random_query_seed_sensitivity_v018\cse_dos_random_query_seed_q149_B050_v018.yaml,recovered,0.0,3.0,[41],1.0,[41],2.2694938000058755,1.0300608999095855,0.0044755999697372,0.4047407001846434,0.831348604368932,0.5055616441136593,0.019859572743752
149,11,200,R20_DoS_random_query_seed_q149_B200,C:\Users\ASUS\raids-nids\results\runs\R20_DoS_random_query_seed_q149_B200__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_random_naive_replay_B200__seed11\summary.json,cse_dos_random_naive_replay_B200,random_nested,naive_replay,200,15,185,92.5,2d534843de6e0389dfca562fc735ab8433b773caea26a689baf3254f37a380cc,0.8447268577069003,0.1375317420626251,0.8431811286407767,0.0390625,0.1177563713592233,0.8025570045452854,0.8117178950841392,0.8736528833272564,0.9105419053234056,1,0.0207397430988482,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_random_query_seed_sensitivity_v018\cse_dos_random_query_seed_q149_B200_v018.yaml,recovered,0.0,3.0,[41],1.0,[41],2.0199009999632835,1.0152157996199094,0.0030786999850533,0.40813649150951775,0.8431811286407767,0.5062771065404503,0.0207397430988482
